;member_2;member_3;member_4;member_5;member_6;member_7;member_8;member_9;member_10;member_11;member_12;member_13;member_14;member_15;member_16;member_17;member_18;member_19;member_20;member_21;member_22;member_23;member_24;member_25;member_26;member_27;member_28;member_29;member_30;member_31;member_32;member_33;member_34;member_35;member_36;member_37;member_38;member_39;member_40;member_41;member_42;member_43;member_44;member_45;member_46;member_47;member_48;member_49;member_50;member_51;member_52;member_53;member_54;member_55;member_56;member_57;member_58;member_59;member_60;member_61;member_62;member_63;member_64;member_65;member_66;member_67;member_68;member_69;member_70;member_71;member_72;member_73;member_74;member_75;member_76;member_77;member_78;member_79;member_80;member_81;member_82;member_83;member_84;member_85;member_86;member_87;member_88;member_89;member_90;member_91;member_92;member_93;member_94;member_95;member_96;member_97;member_98;member_99;member_100
MACCS;0.22480792966932453;0.2638696019863689;0.2837551311834566;0.2977931239593566;0.3027018113041667;0.3122445646109003;0.3144803192800257;0.3138041673559642;0.3079861037607814;0.32421155463980245;0.3264276561608568;0.3201185774779627;0.327083318632674;0.32734476822483194;0.32534286511014776;0.33265937670772655;0.3300995541714721;0.33122898295742764;0.3286948767745002;0.32963791426784567;0.3239543911065323;0.3271438461472119;0.32627095366639663;0.32438027900675287;0.3314734973900776;0.33677451593015706;0.33907466602062164;0.33938953454184506;0.34067158883941623;0.3444494884039892;0.34680201204330274;0.3447943593374275;0.34389951387206474;0.34423643991585734;0.34500604883127794;0.34446119666241454;0.3469911213244758;0.3466784481017071;0.34373455287389393;0.3449169824368283;0.3432384154231215;0.34147705429626435;0.3404932469744736;0.34304721538151534;0.34652258191142016;0.3472652200172539;0.34790039303682685;0.3492670185939165;0.34833255321834666;0.34708635546220307;0.3473268974500301;0.3469213944640322;0.34907811838878683;0.3500472903875459;0.34774933559553606;0.34662565640077153;0.346190673692667;0.34794931683096114;0.34675925599244606;0.34645327320306324;0.34781749438565485;0.34822132476330625;0.34682887831486797;0.3475484135179161;0.34980643478565393;0.35162633720463754;0.3530781612493757;0.35221708156500736;0.3495806326588801;0.3493739609900691;0.34992550359231833;0.3511858139813854;0.35175983225829044;0.3545225630945763;0.35417905115541953;0.3539974686118056;0.35477021366787587;0.3544494910174398;0.3534550208174402;0.3546658847222646;0.3565618908210128;0.3572829940943858;0.35720354519792835;0.3571879690327018;0.35737446486333346;0.3569874651071684;0.35438938165498846;0.35515491358756457;0.35690341653775814;0.356827521934037;0.3560402460929567;0.35704517009512177;0.35488165119895954;0.35652561612749867;0.35966322030943776;0.3599313603349816;0.3601043707608198;0.3584654236573201;0.357307142377388
MFC;0.2407557158123427;0.2996731357407917;0.31607086527949935;0.29779573740989795;0.30090239833742727;0.3170026126665062;0.3073769607086005;0.31488435873372045;0.32115287666421255;0.32072437531345066;0.33375462156060104;0.3319796704909288;0.34021339869050443;0.34619705051198796;0.3254006746361227;0.33217003422836167;0.32566986004188314;0.31337869760783027;0.31397310079895796;0.3062567312685506;0.3082240322980671;0.3089620707309481;0.31262445578159287;0.30515103261351056;0.3064189742781584;0.3103938234755285;0.3125566106055391;0.31428106981075216;0.31474981829985105;0.31650312999904084;0.3117322237667714;0.3146218637613459;0.3097399381500795;0.30603751503714105;0.3027840827272088;0.2975174571962536;0.30127194024397597;0.3031909447074882;0.30064042605516106;0.30083371685720023;0.3037360059523949;0.3048381503146986;0.3055907195325896;0.30697658008566364;0.3077436800885645;0.3098738513558189;0.31287743779399685;0.31527543547273;0.31470413518438806;0.31591186294856277;0.3160472396866054;0.3145660404577824;0.315611943364436;0.31634370951601765;0.3189221398201266;0.32022656525433185;0.32160939420477797;0.31975520331469154;0.3214594866817253;0.3216795392173081;0.32309885193731164;0.3216743123162254;0.3258134952836364;0.3233838225843419;0.3211246513983658;0.3213019478830919;0.31941911357507224;0.31893886590359133;0.32014136676668337;0.32148447126890073;0.3178950537573708;0.32061116063599887;0.31703512399124073;0.3158994229239859;0.31666965906753647;0.31454136948467193;0.3131018809264891;0.31384504172243116;0.3144671474892972;0.3110471861108693;0.3111138813686849;0.31333332810643216;0.31362687087123814;0.3106277795679913;0.31153757397045073;0.31249921923165075;0.3134146586872794;0.31276265504622014;0.31485446085952723;0.3167937456992404;0.31828194897551426;0.31714739782649765;0.31769465436985916;0.3175466285311963;0.3167952092315436;0.3149947508845876;0.3140159613878363;0.3144631750444743;0.3150012322419302
RDKit;0.12821907196893964;0.17836324296805392;0.16498708040724874;0.2019248585927248;0.20654272116129196;0.21620558865490663;0.22526401730731485;0.22419626595413547;0.23319583970035218;0.23516648594656167;0.23641749245170143;0.23922360656697395;0.23842524969559833;0.24037038866452412;0.24307530997483506;0.2586932904100216;0.2494070734084282;0.2554048378628351;0.2626564313489664;0.2647862890021558;0.25972016739673404;0.25873761453120314;0.2638011226860835;0.26382903433786525;0.256361674375039;0.25775453897556394;0.25950753706068874;0.25770258357880166;0.2544981796010254;0.2558423294834593;0.2606798264355226;0.2665516225738358;0.26736409207813483;0.26319501123653055;0.26609750940776855;0.26748640156347064;0.26903837303295375;0.2724163101266765;0.2735072689206632;0.2764360061353365;0.2776783359846789;0.2766489500854467;0.2738936414486983;0.27301761282723336;0.27849216448325936;0.2824654456103047;0.28755717903103184;0.2874062261277627;0.2887406539741827;0.28828894518261355;0.2887736879890256;0.2880627249037531;0.2845383300416923;0.28611769047284896;0.284805320148998;0.28397100219817323;0.28509928106589055;0.2864774058053622;0.2885845787078525;0.28998747895845634;0.2964852487704368;0.293038630196487;0.2926637568508339;0.29194139912120104;0.29176943407557937;0.2929952469175004;0.2915561765114041;0.2896295407723111;0.2846100431245473;0.2859295220338708;0.2860105390006531;0.28855394906750775;0.28854893124246833;0.28986203333247085;0.28932512605325317;0.28907392118721736;0.2889107373354146;0.289498554631178;0.29164242037926913;0.2890372283416166;0.2889599747436139;0.2890219657904551;0.29034667160086125;0.289329725726206;0.29057080111928857;0.29171956943925015;0.29020157282680475;0.2905121552891404;0.2918797216884249;0.290386082435025;0.29113938341906753;0.2900653597845889;0.2902029318210863;0.28912472666574146;0.2868414071967632;0.287153139577337;0.2882515205708612;0.28933254825279064;0.28957329931666104
CDDD;0.1881535423100655;0.23427488115987022;0.20864121740798494;0.19360195946067787;0.20703969491623758;0.20723256756619018;0.1855019353907984;0.19228561669200403;0.19403830116306386;0.21768166552066856;0.2092542283669671;0.21962429557707466;0.22328229003080996;0.2262418659618713;0.22267649219532196;0.23535078647873864;0.2361488297360493;0.23704670680404002;0.2331552789479502;0.227022346831544;0.22032365494194345;0.2302711794685234;0.2286467631500337;0.23140343078106362;0.23942912831754673;0.2450156401947647;0.24368100327230138;0.2431528771869027;0.24127756961644212;0.24175635375561988;0.24312559276325088;0.24526799497903878;0.24900010689012714;0.2461592861516653;0.2474618299014807;0.24594404236507866;0.2431777572360565;0.24470725303088392;0.24554596157861816;0.24874064352038058;0.25002897009925096;0.2502773524387022;0.24513052748056308;0.24808362205428186;0.24933347864118338;0.25067700129548737;0.2513907869073445;0.2514228800799925;0.2540397803760703;0.2557317282565488;0.257897337913144;0.25689366836723887;0.26216719340762323;0.26431733143701364;0.26400058123140036;0.26076784744975573;0.2598275279449732;0.26122530583251596;0.26355033597213434;0.2627514564106504;0.26450205012127714;0.2658786067904239;0.2673224859455163;0.26659939644973196;0.2647081990999799;0.2624866616017995;0.2606425063617919;0.2604395980617605;0.25922925684704434;0.2553866482470672;0.2572574606825967;0.25654283876656625;0.25701325986401163;0.25775255275315245;0.257294571680284;0.2571229202487273;0.2573561445750385;0.2589151200919725;0.26078990497232485;0.2572260992761003;0.25672233054974714;0.25826343006497815;0.2560253755593764;0.2566208241307206;0.2564127934676281;0.2574674775681006;0.25795514743911896;0.2575366817384359;0.2572046689816611;0.258474387792677;0.25755215336564075;0.25603248414484886;0.25418874705692796;0.2539264611605968;0.25581232707124446;0.25728244526977206;0.25660023014045463;0.2571509364385307;0.26013445157655096
