;member_2;member_3;member_4;member_5;member_6;member_7;member_8;member_9;member_10;member_11;member_12;member_13;member_14;member_15;member_16;member_17;member_18;member_19;member_20;member_21;member_22;member_23;member_24;member_25;member_26;member_27;member_28;member_29;member_30;member_31;member_32;member_33;member_34;member_35;member_36;member_37;member_38;member_39;member_40;member_41;member_42;member_43;member_44;member_45;member_46;member_47;member_48;member_49;member_50;member_51;member_52;member_53;member_54;member_55;member_56;member_57;member_58;member_59;member_60;member_61;member_62;member_63;member_64;member_65;member_66;member_67;member_68;member_69;member_70;member_71;member_72;member_73;member_74;member_75;member_76;member_77;member_78;member_79;member_80;member_81;member_82;member_83;member_84;member_85;member_86;member_87;member_88;member_89;member_90;member_91;member_92;member_93;member_94;member_95;member_96;member_97;member_98;member_99;member_100
MACCS;0.08447459227001235;0.07886775333531555;0.23098379919477566;0.19751883030571554;0.20623374621949106;0.19424399452909788;0.21898248926046504;0.20368322706170175;0.2106509217699524;0.21882837934156535;0.20168942998593747;0.1983433183718287;0.20022538575639073;0.18511490820827953;0.17688158579106547;0.17213307391496985;0.16369555585521373;0.1715455298491649;0.17296526747702798;0.18437903334553368;0.1980620677698368;0.19759973801313785;0.19372579992679778;0.19924100864941918;0.20853191038508218;0.21638188437903333;0.22483096068270692;0.2158193831750496;0.21358478935100458;0.22118048197877133;0.21088979214424686;0.20684248039914466;0.19469476604187935;0.18097320413785134;0.1787289784438751;0.1834890485638882;0.17836104101250216;0.1827839956849223;0.19209416116044767;0.17919901369651903;0.185918206160544;0.19984589008110035;0.19655564331259273;0.19519562327830323;0.19263161950261024;0.19450983413919978;0.19094218951667272;0.19463119570033327;0.20468494153454952;0.20541889002330913;0.2039086128180925;0.20934484020727787;0.20906744235325844;0.20864749282425687;0.20632428579684456;0.20900772475968482;0.21074146134730598;0.2101654755254185;0.2096511336710909;0.210710639363526;0.20602377145499026;0.20504517346997744;0.21960663443200862;0.21933501569994798;0.21862225732503704;0.21813488470651693;0.22007474331066632;0.21722948893298144;0.21777465277108896;0.22114002812506017;0.21310704860241564;0.21478492034443564;0.21332087611488892;0.2172545317948026;0.21873976613819804;0.22419140451927336;0.22594633122074317;0.2323881258307488;0.2312977981545337;0.23002253857563906;0.22658588738417676;0.23080657278804106;0.23272909402631425;0.23122844869102882;0.23543179672901698;0.23721369266629422;0.23799580050470995;0.23569956271310513;0.24085261312631234;0.24824988923349575;0.24895686848644796;0.24962339388568894;0.248816243185452;0.2496657741133864;0.24889907726686059;0.2511240392209743;0.24886247616112192;0.24528519966866363;0.24749667700487374
MFC;0.0636417093319062;0.15256881971065864;0.07717632101096106;0.05833060430351948;0.07436381499104236;0.0856947467781395;0.10148523434339542;0.10382192598871146;0.06867715898364508;0.05226059987285931;0.04228968812005162;0.0022018454662788233;-0.017786211015006454;-0.006956136464333185;-0.008556953246903353;-0.011995530812351907;-0.014663558783302189;-0.011095914160775171;-0.006376297894473232;-0.02501011346342779;-0.021606210629731653;-0.016944385583017085;-0.015195238003506;0.007094835391342875;0.02109957427134904;0.03012656277089634;0.03354587659648244;0.015027643466702626;0.01598697771185298;0.011182600990156229;0.015940744736183083;0.01746450655930342;0.016641944867176513;0.0305465122998979;0.029022750476777562;0.028207894280595634;0.029539018705091402;0.024019957234497503;0.028606653695748493;0.013929610294542583;0.023235923022095508;0.03831750496041301;0.03411993604438365;0.02876268998863439;0.03870470613164839;0.034857737281115755;0.03898403035965402;0.029945483616189247;0.036500934291383326;0.026254551058542505;0.030891333243435883;0.04854269807940513;0.04886825528308065;0.05169809866887558;0.05820153724644102;0.053649515516942456;0.05143418543275991;0.053194891256188474;0.053551270443643925;0.053585945175396346;0.052102637205987165;0.05256496696268613;0.058752480206507286;0.0632139623586523;0.06154379611257729;0.06261871279690238;0.061564986226426;0.05359942979330007;0.059563483654716726;0.05734815357053418;0.0605574926316195;0.06019726069619156;0.06333917666775828;0.06669684652578452;0.06762535878715493;0.06981949875748877;0.07399202481169694;0.0753481920980139;0.07548689102502361;0.07871356745198513;0.08107722833310857;0.07532122286220645;0.07369151046984261;0.07381479840496233;0.06997746142436091;0.07148003313363256;0.06975978116391515;0.06983683612336498;0.07968060719308045;0.08153185259386256;0.08112538768276473;0.08597407100614514;0.08412282560536301;0.08714530638978252;0.08474119165494788;0.08606653695748492;0.08208664830190134;0.0794918225424284;0.0816724778948585
RDKit;0.07415876330465015;0.14570707557165147;0.18749783282926544;0.14386353566681434;0.15310049893086242;0.16936294812274855;0.1917454874689372;0.17291710812737185;0.1632910173181021;0.183566103523338;0.1827300572133074;0.15232031746643293;0.1483096068270694;0.16480514727129122;0.15433530465604592;0.15891236924736568;0.14919381248675617;0.15121843154630038;0.15214116468571207;0.13729845312168903;0.14076785267091751;0.14568203270983027;0.1516403074492882;0.16592629693128622;0.16492650883242474;0.17620542852189325;0.16930515690316117;0.17959199398971315;0.167712045616536;0.17198281674404267;0.18327522105141492;0.17873668393982003;0.17116796054786074;0.1708578143360752;0.1681628171293175;0.1751671129433068;0.17312515651788635;0.14701315713432606;0.16857120841440157;0.17343530272967192;0.18384735412532988;0.17988095008765004;0.16217564678006585;0.15364373639498374;0.15618655005682802;0.15471094758336384;0.15042861821193965;0.14125715166342392;0.14458592591165648;0.15012810387008535;0.1562828687561403;0.15922444183313747;0.15712276781414342;0.15540251584442602;0.13026911444587852;0.13100884205659688;0.1317697597811639;0.13930188206738456;0.13800928512261368;0.13146924543930957;0.12759723372695575;0.12776097551578663;0.12884552407004296;0.1256304058869989;0.1282367898903893;0.1273506578567163;0.12594055209878446;0.12399876712064879;0.12572672458631118;0.12192598871144844;0.12421644738109457;0.12150411280846064;0.12669183795342026;0.1260696191558629;0.13053495405598042;0.13192001695209107;0.13240738957061124;0.1338695074261717;0.12596559496060564;0.1275452216293271;0.13266167093679565;0.12805378436169595;0.1286374756795284;0.12650690605074066;0.12061027527884262;0.12826953824815548;0.1324401379283774;0.13409296680857619;0.1385332588468725;0.14301400473888;0.14997206757719944;0.14509256227003908;0.1442237676022423;0.14052320317466432;0.1378282059679066;0.13529695054997978;0.13110130800793665;0.1314827300572133;0.1309857255687619
CDDD;-0.001385062896110651;0.059482575947294405;0.1008726474157693;0.074972549170696;0.07944173681878598;0.0314191597156672;0.026892180847989826;0.03570534183506386;0.04128604727321762;0.11175858681204369;0.11446128951474638;0.10375835564716533;0.11837182870682515;0.12724470728747278;0.1315000674230895;0.1319546916838435;0.13846776213134018;0.1273410259867851;0.10409547109475834;0.1031746643293329;0.08914488258750553;0.07509198435784323;0.05613646433318564;0.06912600412244033;0.07923946755023019;0.07616882741615456;0.06808383579588141;0.0675483038277051;0.076313305465123;0.08713567451985128;0.08818554834235517;0.09272408545395004;0.0743156556413862;0.06943422396023964;0.07039355820538999;0.07157249908497235;0.07602434936718615;0.07817032998786384;0.08911406060372559;0.09507040896919727;0.08804684941534549;0.08393018820673845;0.07845735971181446;0.0791219587370692;0.07720521662075475;0.0757276877733043;0.07423667430795014;0.08044345129163376;0.08974398489722794;0.08996744427963244;0.09956078673113598;0.10225385756390744;0.10471768989231568;0.09805050952591934;0.0981872820789428;0.0921712161198975;0.09189574463986439;0.09527653098572557;0.09209608753443392;0.09177630945271713;0.0932037525765252;0.09089403016701662;0.08292269461193195;0.08794282522008821;0.08672728323476721;0.08736298665022826;0.09182446880237329;0.09484117046483403;0.09167421163144612;0.09068983452447457;0.08895224518888095;0.08717998112153492;0.09212498314422761;0.09410722197607445;0.09481034848105412;0.09887692396601877;0.09986130107299031;0.11071449211149852;0.11852208587775229;0.1265338752865481;0.12742386006819362;0.12527210032555722;0.12869334052512954;0.13156171139064937;0.12644718845716707;0.13201055652944463;0.13504652193176783;0.13566681435533895;0.13401976459709888;0.1343067943210495;0.1343067943210495;0.14019957234497502;0.1380593708462561;0.13998959758047427;0.13775885650440176;0.13529695054997978;0.1309895783167344;0.12805185798770974;0.127489356783726
