;member_1;member_2;member_3;member_4;member_5;member_6;member_7;member_8;member_9;member_10;member_11;member_12;member_13;member_14;member_15;member_16;member_17;member_18;member_19;member_20;member_21;member_22;member_23;member_24;member_25;member_26;member_27;member_28;member_29;member_30;member_31;member_32;member_33;member_34;member_35;member_36;member_37;member_38;member_39;member_40;member_41;member_42;member_43;member_44;member_45;member_46;member_47;member_48;member_49;member_50;member_51;member_52;member_53;member_54;member_55;member_56;member_57;member_58;member_59;member_60;member_61;member_62;member_63;member_64;member_65;member_66;member_67;member_68;member_69;member_70;member_71;member_72;member_73;member_74;member_75;member_76;member_77;member_78;member_79;member_80;member_81;member_82;member_83;member_84;member_85;member_86;member_87;member_88;member_89;member_90;member_91;member_92;member_93;member_94;member_95;member_96;member_97;member_98;member_99;member_100
MACCS;0.7231622958574149;0.7299334716920798;0.7306248027274859;0.7411816336552688;0.7401500246683066;0.7396065642868921;0.7411440907485409;0.7451138695125403;0.7496173750777806;0.751635388044654;0.7516588897478088;0.7500805008110729;0.7497847728024793;0.747745813998054;0.7484091690984114;0.749221838681883;0.7500417476892631;0.7490109821197828;0.747477430862513;0.7458338447895728;0.7467056100136971;0.7462382165408844;0.746521451040844;0.7471414967200316;0.74816256632875;0.7483606491102779;0.7478681243009803;0.749390990995302;0.7501820109853421;0.750528622816349;0.7507377594822855;0.7508618853933714;0.7494274458342423;0.7504409766761169;0.7498073360414379;0.7498750586027134;0.7506334835191915;0.7511422972395372;0.7516349286784023;0.7527713071956981;0.7525140897080225;0.7530279078302039;0.7518733767737419;0.7522119541017221;0.7515630444090715;0.7514657614882604;0.7510595017979409;0.7511541729927391;0.7507525493926637;0.7502234303084365;0.7506032817491748;0.7502759173490532;0.7501518719703238;0.7501916232457271;0.7504169492684625;0.7504887139099206;0.7495956751071201;0.7494437348981966;0.749551356991901;0.7490607555005813;0.7487943977427559;0.7486717635169506;0.7488477624211914;0.7483819825834555;0.7476591883989623;0.7471187621623386;0.7471689885570365;0.7473033068043917;0.7473027842294233;0.7473380285437128;0.7476021859291115;0.7471725621559042;0.7466173578492824;0.7467921201875828;0.7464536916033027;0.7465670186489464;0.7470317628834158;0.7470092792555594;0.747430751935587;0.7470608921022317;0.7467654628687652;0.7463958876925154;0.7459332363658064;0.746125432442774;0.7462511397746162;0.7466221672617345;0.746776085529012;0.7470923700942176;0.7472043398074953;0.7470557066905726;0.7469504695138394;0.7468698042999675;0.7465994847443571;0.7468169978486061;0.7465147068588754;0.7465689493893117;0.7467766015673718;0.7466705915390086;0.7466487262693997;0.746413074850711
MFC;0.711136931352008;0.7259184738519232;0.7311471764583595;0.7444698428732959;0.746692607796142;0.7503542479351294;0.7507394662918715;0.7537045876947135;0.7546328598810019;0.7566467972965201;0.7552575397250088;0.7541532274833435;0.7517936436962928;0.7511498422947639;0.7510054589236952;0.7513794440005576;0.751858953185992;0.7513786883446297;0.7521438674424512;0.7519989374274808;0.7522338647397935;0.7514695145494421;0.7513296178639131;0.7500882702565147;0.7508078997383604;0.7503240954353358;0.7507965094182143;0.7516612206591373;0.7522134535335446;0.7506295844558881;0.7513098077862654;0.7517168878047608;0.7524313954416835;0.7523547729196834;0.7517526518133898;0.7537397130387339;0.7541751875118418;0.7538931940933351;0.7537419315728262;0.7540847756364628;0.7534812668379961;0.7537063559369763;0.7538638952973252;0.7542192577722933;0.7534107858552866;0.7533721883989426;0.7529276905581056;0.7525104311780432;0.7527413466559048;0.7529093416637966;0.753215068462596;0.753345729772836;0.7536821074339604;0.7537695464677061;0.7540563004253942;0.7544386691231514;0.7537662317214812;0.7535583608343182;0.7539165948936424;0.7540915210281536;0.7534606403447927;0.7536826582056552;0.7538605355178691;0.7538851391173844;0.7541257760630782;0.7541194689894329;0.7544814136267366;0.7546667378741743;0.7542605405585766;0.7543037481639265;0.754608630949906;0.7544636467125962;0.7545308706340423;0.7545656736635076;0.7546445222892417;0.7547982995684888;0.7545911473602378;0.7544668051813441;0.7547394025351306;0.7546112422211662;0.7546458490085857;0.7545372736055604;0.7542752047623298;0.754550969908033;0.7546771479685257;0.7549098273323815;0.7548748140442427;0.7551491323089907;0.7551220220195223;0.7551143390705559;0.7549778276785466;0.7548309380194708;0.7545446454625492;0.755056043963624;0.7548987115660819;0.7549766134352223;0.7549118569342229;0.754617221124887;0.7546711859305005;0.7546974847956717
RDKit;0.7043583150877242;0.7346469016673649;0.7375810910877267;0.7438446982641378;0.7433877787864769;0.751109066377739;0.7526280986402214;0.7547625450750676;0.7585053903606476;0.7583929596301566;0.7588452459164623;0.7580479840408526;0.7591613183725894;0.7589885791224448;0.7594053738749978;0.7617663094805893;0.7620944443464888;0.7620593466715619;0.7614067579002601;0.7603879971259824;0.7612547249141047;0.7614547120474462;0.761369777075199;0.7617781703027704;0.7619566825651265;0.7629602247713314;0.762580607546204;0.7631000168424501;0.7637523071994907;0.7634068735903944;0.7635934459347132;0.7639262193978761;0.7631232919364446;0.7632721070595638;0.7625547671686368;0.762833801494768;0.7627790012807416;0.7629143815967303;0.7632457923218234;0.763787267023882;0.7632689138042248;0.7630509395444685;0.763096308405628;0.763620086695818;0.7633668978100956;0.762945967332965;0.7625358501048871;0.7624983964540727;0.7623134279803963;0.7622723324003664;0.7622318613959306;0.7624341580957549;0.7624559255847768;0.7625728412252919;0.7625229556528834;0.7627688055637797;0.7625982445620191;0.7622011323828135;0.7622075403298407;0.7623018055919106;0.7614198292259164;0.7606840022075511;0.7610552321130006;0.7608471265494531;0.7605111461455538;0.7601595576983055;0.760316036651026;0.7604007549017523;0.759904148642506;0.7601839485625299;0.7604084393338529;0.7605815496265825;0.7601873531348446;0.7600634039348806;0.7600100873464024;0.7601332080698633;0.7602645877715237;0.7603253954311182;0.7606814731075855;0.7608457672917848;0.7606679369056427;0.7604939963541831;0.7601941249937001;0.7602626418259604;0.7601801264947281;0.7605951805337254;0.7602287555651308;0.7604749417657012;0.7603451948634607;0.7603975361912587;0.760316666481404;0.7604218463835029;0.7601691880457047;0.7603131140149235;0.7603695196192676;0.7602466268320807;0.7604717677968322;0.76045356661979;0.7603654405436262;0.7602600892496696
CDDD;0.7614863446436488;0.7654913227501117;0.77173802760787;0.7739141635496212;0.7688273082186867;0.7590654389538913;0.7669844868852818;0.7680222689255305;0.7702861955014797;0.7715086587012006;0.7706000479648634;0.7697823350334446;0.7688833121500931;0.7700965542640984;0.7709486512961967;0.7718354379496147;0.7735173349135942;0.7736989292323748;0.7738739704599729;0.7713366840706153;0.7728479855844423;0.7718436587490769;0.7716986426554723;0.7727466099184811;0.7737838221632516;0.7747272241160255;0.7741673036988006;0.7749436540514898;0.7739874444772008;0.7749776346329958;0.7751986940592346;0.7761877492247291;0.7753452624771696;0.7755900293700053;0.775734936780786;0.7755952107757381;0.7756524652822854;0.7763563188923838;0.7769937132647187;0.7766983154912398;0.7765419955161516;0.777178417518688;0.7776138346924872;0.7781764564333397;0.7777618796171238;0.7776701301452044;0.7771360225957561;0.7776189377218418;0.777055776399042;0.7775620629133964;0.7780765283135282;0.7781087350326993;0.7779265688957016;0.7779610771247972;0.7781184524564945;0.7781183326369756;0.7776258473511628;0.7774940183927673;0.7773197588303374;0.7767637415443707;0.7764165302723744;0.7763015343817368;0.775905536471132;0.7761776568550578;0.7760271888398077;0.7758271631149498;0.775852133250946;0.7759430694506013;0.7759661475542126;0.7761802009124223;0.7765541491852705;0.7767771008667371;0.7762027679469203;0.7762951179461928;0.776334147455826;0.776506218795726;0.7765304016300617;0.7764405749129804;0.7765043280583794;0.7763120273407321;0.7760624778792223;0.7758452344056159;0.7759641558296317;0.7759984591250538;0.776491485066064;0.7766071328639618;0.7763740107071432;0.7764092368049267;0.7760218947277613;0.7756974095800389;0.7761538866563156;0.7761487123776413;0.7760882018479799;0.7764227045069385;0.7764027161335623;0.7757083023883093;0.7756988296023675;0.7756922634838203;0.7754850385510463;0.7752349270399794
