;member_1;member_2;member_3;member_4;member_5;member_6;member_7;member_8;member_9;member_10;member_11;member_12;member_13;member_14;member_15;member_16;member_17;member_18;member_19;member_20;member_21;member_22;member_23;member_24;member_25;member_26;member_27;member_28;member_29;member_30;member_31;member_32;member_33;member_34;member_35;member_36;member_37;member_38;member_39;member_40;member_41;member_42;member_43;member_44;member_45;member_46;member_47;member_48;member_49;member_50;member_51;member_52;member_53;member_54;member_55;member_56;member_57;member_58;member_59;member_60;member_61;member_62;member_63;member_64;member_65;member_66;member_67;member_68;member_69;member_70;member_71;member_72;member_73;member_74;member_75;member_76;member_77;member_78;member_79;member_80;member_81;member_82;member_83;member_84;member_85;member_86;member_87;member_88;member_89;member_90;member_91;member_92;member_93;member_94;member_95;member_96;member_97;member_98;member_99;member_100
MACCS;0.2765004651780839;0.28839634883895837;0.294484452180529;0.28900956796429633;0.2906755902709679;0.28945342965103005;0.2871402448336282;0.28901556096682823;0.28947783840630437;0.28884807623346;0.2902432399214736;0.29025219781918643;0.2909139273554382;0.29042139619362384;0.291203291886149;0.29086227183347557;0.2918764276889705;0.2908847146139225;0.29039257592243517;0.290508873632509;0.2906799592850833;0.2910348926483086;0.29101567490563873;0.2909699379245414;0.29087602332142637;0.29092224622999074;0.29156748135441823;0.2912184195583625;0.29062129826264516;0.2907228497286556;0.2908661753790901;0.2910323064037523;0.29133539059738933;0.29137604216793256;0.2915882020768362;0.2920193842502605;0.2920180229766891;0.29188528063753894;0.2921176262200684;0.29218478629637645;0.29258864709722565;0.29288891346351775;0.2929383550135142;0.2930325892643577;0.2931946091670614;0.2931760874188979;0.29265620368238665;0.2926818270151603;0.29275874083462305;0.2927660544033063;0.29289082262526556;0.2930342619857865;0.29298105141375996;0.29307773081654864;0.2931298713107994;0.2929133198904882;0.29297798314053425;0.293196777401737;0.2934096226510352;0.29358723247396445;0.2934178936774362;0.29353850765750034;0.2933724438421458;0.2931533374943045;0.29329840693209974;0.29356873397324434;0.29367588612534756;0.29372222731380226;0.2937713694198365;0.2938611432718756;0.2938611688595959;0.2937484423502077;0.29359630359613365;0.2935897200792761;0.2935013772815328;0.2935211607752679;0.29362376241779164;0.29379844795839827;0.29393209651668606;0.29387545388409986;0.29386696517103605;0.29387731116133786;0.2937383569383739;0.2936661468754338;0.29357974360518835;0.2937168161579653;0.2937049035300543;0.293603905150029;0.2935556044348777;0.29367565992896294;0.2935286640977751;0.29360813529572827;0.293578393025663;0.2935417203129691;0.29348793784893634;0.29367565838183984;0.29373326406073386;0.2937634825027644;0.2938378871604591;0.29392452582408424
MFC;0.4610738977707012;0.4764567066945046;0.4858505572678311;0.48590546621408626;0.4849128332532773;0.48707584310389873;0.48498111452289416;0.48669672395068697;0.48726928170678085;0.48737984786791244;0.48778516936030836;0.48919494233582483;0.4905939906876874;0.490505849954487;0.4915041963539073;0.4901481747961587;0.4910796111919834;0.4909987458575381;0.4906988450988099;0.4907320407019009;0.49135202078549234;0.491534698711802;0.4916565587812338;0.49196076860013627;0.49210026812903973;0.49240049588146795;0.49263499307554115;0.4924616768920731;0.4913834827091783;0.4917771130627516;0.49180070775943596;0.4921367598548203;0.49238470913694143;0.49261079368279903;0.49322198989481203;0.493879665753601;0.49375733478748174;0.4938383144161623;0.49376842841094326;0.4939771310098062;0.49414267193682815;0.4944140681385897;0.49450922685711907;0.49474495093971493;0.49498919408695685;0.4949018098230763;0.49466849818644765;0.4946565676298552;0.49475425649741744;0.4944818653205809;0.4943749195673499;0.49451471745645204;0.49430388434532924;0.49447134227364486;0.49459843315707364;0.4944531527359519;0.4945165465500221;0.4946747630769178;0.49465669404958446;0.49480916398674146;0.494620263226063;0.4945767964363529;0.4946274127024469;0.4945531042202336;0.49476783593037343;0.4949405128714863;0.49494471507176563;0.4949185237691086;0.49488908552971045;0.4950325950563802;0.4949716336590525;0.4949108441065232;0.49466661621792896;0.49478474654088733;0.49482193754694004;0.4948173960141429;0.4948838393253707;0.49484912173443596;0.4949649879793079;0.494933712427686;0.49483822488690377;0.49470702639934294;0.4948080334112479;0.4946709874882471;0.4947212825727859;0.4948706995158917;0.49490055337471106;0.49488650021848113;0.49485614819135393;0.49486931505385223;0.49485882085325905;0.49489826769743017;0.4948808060247042;0.49491011167295007;0.49497548657521506;0.49514771044461137;0.49503324166297524;0.4951187613849283;0.4952072402513439;0.49520786685965545
RDKit;0.4095963507499737;0.41940465826581697;0.42695026441801565;0.4295813941501945;0.4325353038509008;0.43132600896542184;0.4269139849165289;0.4290205196679908;0.4291274489197514;0.4275422085238004;0.4289727818223563;0.42929170143710693;0.43010177215814827;0.42980773236353675;0.4306611801608582;0.4295575861215849;0.4302970445140857;0.4295799067965601;0.42983778315724785;0.42907180859727667;0.42938959830306245;0.4294393690997572;0.4298999446615821;0.43003931293597486;0.4301308507426689;0.43029102100031325;0.4306601646442625;0.43052717009484653;0.42966491961898723;0.4297710472589348;0.4297666183302009;0.4302228840883381;0.4307282897482444;0.43098586563960073;0.43150580178372855;0.4318461817305057;0.431257865460571;0.43116358495301477;0.4315312822240178;0.4315772524780599;0.4317747404640403;0.43189644632316293;0.4319635692603705;0.4323400446048554;0.4325411517135189;0.43285975164388424;0.43254830613404904;0.4325865022885058;0.4324159759669377;0.43238808563841247;0.4321997624918159;0.43235381624900215;0.432239945958772;0.4322476162932467;0.4323893685636183;0.4318764774775752;0.432088665524509;0.432478499853026;0.43253941254714123;0.43273254969820696;0.4326970204946735;0.432957032583;0.43299506595469683;0.4326192328496955;0.43275310265257594;0.43313348408947727;0.43310502205235224;0.43311047378026135;0.433205900953069;0.43307448062945986;0.43293243187749186;0.4328872442734638;0.432600791692619;0.43264673980962975;0.43265950493762306;0.4327434459412347;0.43269000911945;0.4326462667116958;0.43272381350745726;0.4326001167662691;0.43259879174996474;0.4326940295983641;0.4327588871553518;0.43293558856667147;0.43302766933674963;0.43318669831663825;0.43333786906988037;0.43340311927167063;0.4335449462840706;0.43347178072465997;0.43360719224704736;0.4336918097360014;0.43361644477341166;0.4336814682835637;0.43365636353711623;0.4336791712929725;0.43373486861219424;0.4339613104609492;0.4339068965319145;0.43389320731303593
CDDD;0.49178499281532617;0.5061599267387922;0.5191450762447876;0.5220975639035013;0.5222446332146556;0.5241468821089041;0.5226463703433206;0.5234663526028418;0.5227703810971411;0.5215547721434284;0.5224355538179553;0.5232487813713986;0.5247603004418391;0.5238129543066484;0.525560740470006;0.5242791443862591;0.5254478275920945;0.5251494456663071;0.5252431691404006;0.525117020775131;0.5257950173547321;0.5258902483106414;0.5259309246138548;0.5261635922419483;0.5263134847646316;0.5264501560944705;0.5263986377160539;0.5263609627560375;0.525141791815621;0.525584084435562;0.5254707446363414;0.525659878592393;0.5259578254923649;0.5263218342437769;0.5266583653000291;0.5270517943379291;0.5268290655311934;0.5269030658408032;0.5269517852091061;0.5269028724924212;0.5270883193639171;0.527591518172212;0.5276060023991007;0.5279484347773009;0.527990815759626;0.5281221299811405;0.5280604459983411;0.5280116102730081;0.527900985689528;0.5277169987812891;0.5273940970817214;0.5274370703124645;0.5270928122306718;0.5271436498131947;0.5272051972363627;0.5268933748976513;0.5272056375616319;0.5275285164857916;0.5276287315202415;0.5277855712155368;0.5277597043949669;0.5277503611039929;0.5276384780077428;0.5273716566817164;0.527562278320763;0.5280047132850718;0.5279459807920325;0.5282622738072436;0.5282037130680644;0.528195472955302;0.5280258436479721;0.5279038658549595;0.527621355765291;0.5276837829821751;0.5276225041075058;0.527589532913592;0.5275193707878068;0.5274156450737741;0.5275934795995001;0.5275672517251062;0.5275150896761918;0.5273619565481897;0.5274275023437521;0.5275088231863037;0.5273717707158965;0.5275485150531325;0.5276398662722919;0.5275969494464547;0.5275426646734938;0.5274973711798568;0.5275538873862453;0.5276453891435342;0.5275662659343169;0.5277411326268188;0.5278372701467715;0.5280755892388704;0.5281020622143326;0.5281047388844193;0.5282351081586778;0.5282399999824197
