;member_1;member_2;member_3;member_4;member_5;member_6;member_7;member_8;member_9;member_10;member_11;member_12;member_13;member_14;member_15;member_16;member_17;member_18;member_19;member_20;member_21;member_22;member_23;member_24;member_25;member_26;member_27;member_28;member_29;member_30;member_31;member_32;member_33;member_34;member_35;member_36;member_37;member_38;member_39;member_40;member_41;member_42;member_43;member_44;member_45;member_46;member_47;member_48;member_49;member_50;member_51;member_52;member_53;member_54;member_55;member_56;member_57;member_58;member_59;member_60;member_61;member_62;member_63;member_64;member_65;member_66;member_67;member_68;member_69;member_70;member_71;member_72;member_73;member_74;member_75;member_76;member_77;member_78;member_79;member_80;member_81;member_82;member_83;member_84;member_85;member_86;member_87;member_88;member_89;member_90;member_91;member_92;member_93;member_94;member_95;member_96;member_97;member_98;member_99;member_100
MACCS;0.08273417401752492;0.15529687030090866;0.13563731429648773;0.15224167626487217;0.19610895244558313;0.19803003726864665;0.19527633520304422;0.1844101424589869;0.18539173340306148;0.1782441372914806;0.1740803170548918;0.16725667526663113;0.17497623930056316;0.17013498835846208;0.16766504858737463;0.16300207809095812;0.16834714426994823;0.15990162164322597;0.153706035796905;0.14513764748867264;0.1453520072937169;0.14457716168787993;0.13849751114825914;0.13406932451431242;0.13516964811348442;0.12680185719298964;0.1309531616362517;0.13552706662452263;0.1371204934511715;0.13078614197117167;0.13263976744595907;0.12595102518416557;0.12990585928992326;0.1279801788307593;0.13196633502934285;0.13478652505802735;0.13373204940322447;0.13555071869246493;0.13999155708778466;0.13887905252589527;0.13991056417040193;0.13881405698470273;0.1353002244067345;0.13561470769469253;0.13478125836696053;0.13569600172864205;0.14002455664312274;0.14011444496071812;0.13682015498907885;0.13684780050847167;0.13493468140194254;0.1360343798785062;0.13701241043809942;0.13669878637699784;0.1356962289280269;0.135913268817626;0.1375211848733473;0.1370241867252262;0.13594798417114895;0.13857058719330861;0.13766952143908218;0.134246278973844;0.13851895436035566;0.13994942340955674;0.13867515333280345;0.13949792470614197;0.1425395533744046;0.14228233336417018;0.14243809141197028;0.13995464224264254;0.13823746886085564;0.13925945733914713;0.13831535012526486;0.13943202137875554;0.14129096924830353;0.1406943737591282;0.14113877317683743;0.14333056461544813;0.1426145469306369;0.1420439692754698;0.14248245943372673;0.14231332308464462;0.14327934103193474;0.14240000906167538;0.14369894418899576;0.14620429208726837;0.14467222050313255;0.14723949185162322;0.14651485388173868;0.14718559079973093;0.14560670729303893;0.14520511647840173;0.1445301313031091;0.1458870123290309;0.14673870852960846;0.14597151828484112;0.145775539295526;0.14713250658794763;0.14622620116535678;0.14810633154776365
MFC;0.4617031050439516;0.5178629804707575;0.47710309629530523;0.4769811317737035;0.49176781405483816;0.4963790804298456;0.5093427777244977;0.5094834360473885;0.518533936688717;0.5198285010058046;0.5201890796817854;0.5149469267597613;0.5167771457269328;0.5203500141012538;0.5236416240661613;0.5242308708139386;0.5265745328075011;0.5256309631283697;0.5269508988813578;0.5224445080960668;0.5268612325052692;0.5274046451172527;0.5299290295445385;0.5331043794088972;0.5346460045063057;0.5350418834976858;0.5334242171801247;0.5352396215161157;0.5340293142728733;0.5352399514074763;0.5345675364664797;0.5334015834847476;0.5332517756333723;0.5311116136440388;0.5303480732690753;0.5316550711470607;0.5316435557381031;0.5322103625269161;0.5328481957813221;0.5318080315181328;0.5319169901531939;0.5328392938329676;0.5317002382834918;0.5320269891726076;0.5323843168750112;0.5332708555757846;0.5333913282407295;0.5328830009906422;0.5323525440494645;0.533287974152091;0.5317837317542646;0.5320822700005847;0.5325452928469638;0.532876098271021;0.5330406570730932;0.5330093220012723;0.5343191377856745;0.5355822620539509;0.5354474325594973;0.5369697450560513;0.5363547526897332;0.5358015988710103;0.5364617025112364;0.5367157450736249;0.5359626230758106;0.5355418221889955;0.5353117807761243;0.5359566069517198;0.536473697534371;0.5373465078196666;0.5376671791070371;0.5377325447910993;0.5373020160360181;0.538044340738094;0.5383467378875344;0.5382389369330138;0.5375258266949856;0.538163761475362;0.5369386244606955;0.537165262840499;0.5375767718477917;0.536887132163469;0.5374224595233998;0.5373037915196943;0.5371436287521318;0.5376623725922344;0.5375684746461358;0.5380366501872841;0.5371551706351854;0.5372646191835706;0.5369048180481562;0.5378631402303865;0.5371138401111966;0.5366638308337939;0.5374110262237699;0.5378793035166705;0.5376995692544166;0.5383456139259564;0.5379520665565161;0.5380887956403235
RDKit;0.3935550629866543;0.443542386850898;0.42696524349967513;0.43386693851135705;0.4282573208959113;0.4373874634582151;0.44817056370074315;0.443016933965691;0.454807580162373;0.4455398479786945;0.43997517669383046;0.4428365575614288;0.44761665166256615;0.44351726189880536;0.44060388140250806;0.4355391246451592;0.4404312186736472;0.43758906128374186;0.4402072595528965;0.4317632516877661;0.4358177866792964;0.4354481789756649;0.43973708800315625;0.4395318668112146;0.4415455012401718;0.4420998739784049;0.442079288723884;0.4450130199705623;0.44242212202376974;0.44134950082973257;0.440923383402953;0.43938252679859213;0.441968131589055;0.44141075130643037;0.4411292449797588;0.4446505091285081;0.4439500133799751;0.4448375114029983;0.44603351153524573;0.44503361303261935;0.44467800008082137;0.44583950172966635;0.44342679477316915;0.4470395342269905;0.44745939616556785;0.44756329958588914;0.4491322134371811;0.450626189190111;0.4501651541942613;0.44976918565273905;0.448677289313409;0.44987002142029653;0.4519783503618241;0.45198322189013107;0.4515438045708017;0.45204263134194467;0.45308500587370926;0.45456030340028475;0.45397557954015166;0.4555426762858841;0.4547883662250465;0.4546578467954747;0.45679300846898463;0.45652952852758144;0.45594675649993055;0.4566915593417278;0.45624545244258785;0.45632630273724084;0.4562345884914767;0.455617355764517;0.4546135875038204;0.45633557459775953;0.45673908694895393;0.4582865807023566;0.45835483964357393;0.45793733906914025;0.457897203033348;0.45955004298327096;0.4585937997102407;0.4599703490842494;0.46012199471461934;0.4603044487882253;0.4597905882793035;0.459935493808204;0.45868064324468805;0.45985296006233534;0.46048964459757746;0.4601190458700106;0.460035362968668;0.46114585008429565;0.45985862477453165;0.46022388018006655;0.45951851534407573;0.45876423769849184;0.4592312926845915;0.4599731166999854;0.4598376390292339;0.45957339363376204;0.4587504852334444;0.45937470793700097
CDDD;0.17788027775824022;0.3653160909996298;0.2970656282910712;0.3541966239621357;0.33381501330540453;0.3674691274050702;0.39009505720309223;0.3852848635757934;0.39625263771904096;0.39331218726116157;0.3879328265231533;0.4008533688224716;0.39544419223090166;0.4022453025034789;0.38470521865163243;0.4017157640818275;0.40503849108659207;0.4021457420400062;0.3996229939308904;0.3879317772175579;0.3973235538075941;0.39514808654747835;0.3996462092846069;0.40189417956109985;0.39659698281757316;0.4009675582931649;0.403893236136713;0.4023570516596481;0.39774482199216876;0.39619474919061926;0.39964824258345155;0.3968123942867672;0.4055426475271606;0.40106131506362364;0.40237220505849136;0.40492759531481903;0.40606636084144276;0.4057808295459029;0.4061651427715469;0.4038515261792348;0.40184185128843875;0.39913371852932633;0.3932204014253413;0.3951316230815016;0.3975678557040476;0.3947325609205504;0.39906175125395216;0.3976742473340217;0.3975711599823375;0.396965530147813;0.3968049125251645;0.3976969798981629;0.39616311719701625;0.39505020509682853;0.39432958753261327;0.39400747708278994;0.3998397480987821;0.4027195147076946;0.4014789732971358;0.40361601432525573;0.4018498030542299;0.4032867677893719;0.4039938915799095;0.4054033651420397;0.4047002048444841;0.4046855313510068;0.4043099633295745;0.4022463483251725;0.40250270222985907;0.4039674482016967;0.401149676543442;0.4006000828111538;0.39756034326386636;0.40021273742796515;0.3995249455885377;0.39537789772462406;0.3943984623736775;0.3955266735741011;0.39575397789429223;0.39600075389115075;0.3943534003866527;0.39663775274336444;0.39744411807350544;0.3959824717555167;0.3933599896892561;0.3969526612467502;0.3980518958785625;0.39814987603124175;0.39836117583265873;0.3989540062905539;0.3965222727403235;0.40029120325668865;0.39869428336862156;0.3949443909318603;0.39626581402273797;0.39737248433940775;0.3985503172762087;0.3980855768378805;0.397999782991173;0.3990540715324782
