;member_2;member_3;member_4;member_5;member_6;member_7;member_8;member_9;member_10;member_11;member_12;member_13;member_14;member_15;member_16;member_17;member_18;member_19;member_20;member_21;member_22;member_23;member_24;member_25;member_26;member_27;member_28;member_29;member_30;member_31;member_32;member_33;member_34;member_35;member_36;member_37;member_38;member_39;member_40;member_41;member_42;member_43;member_44;member_45;member_46;member_47;member_48;member_49;member_50;member_51;member_52;member_53;member_54;member_55;member_56;member_57;member_58;member_59;member_60;member_61;member_62;member_63;member_64;member_65;member_66;member_67;member_68;member_69;member_70;member_71;member_72;member_73;member_74;member_75;member_76;member_77;member_78;member_79;member_80;member_81;member_82;member_83;member_84;member_85;member_86;member_87;member_88;member_89;member_90;member_91;member_92;member_93;member_94;member_95;member_96;member_97;member_98;member_99;member_100
MACCS;0.011730275995220635;0.05049033217581621;0.06136656683557082;0.06413024836086396;0.06710924057849044;0.07328751680950624;0.07556756421933127;0.08737399302230921;0.08312830164106542;0.08141262551507308;0.08537713192294254;0.10209926381937952;0.10589890935196153;0.121594201118018;0.12381899791962557;0.11701790745306646;0.11610240730475484;0.11212116897644539;0.11143536917847012;0.11570256705913493;0.11891635599069851;0.1202018525796266;0.12518707956184574;0.12474824751818603;0.12445315071828343;0.12385563764950021;0.12373676567655821;0.12343483235771456;0.1257517574008601;0.12527109018335578;0.1270178010727246;0.12465359647460086;0.12268739404649284;0.12213957170104295;0.12773487740758058;0.12731038581606904;0.12939069280179746;0.12682315011987907;0.12926278148465314;0.12745962633206456;0.12498771969689698;0.1274019015647295;0.1281501881726169;0.1279042591489124;0.12527598773848958;0.12483230291256722;0.12430412391812624;0.12270250817385477;0.12371477204829892;0.13353161327662963;0.13444108162373797;0.13639421813409694;0.13363470311097192;0.130794756311172;0.13142803574035633;0.12869149397591167;0.12983982917251283;0.1290521633320071;0.12738311665890364;0.12842345491448287;0.12587800973388488;0.12506610027910098;0.12846673117780735;0.12707920676704101;0.12694066099753767;0.12656816623071024;0.12627065468062285;0.12729988568232353;0.13384174659758416;0.13259485019331615;0.13035660780001201;0.13088706065933653;0.13004036029577126;0.12905948817372964;0.12835197711506924;0.12913844363959937;0.12894363150441765;0.12923471247626264;0.12923031518334263;0.12918178318191506;0.12939538320778066;0.13052552390348374;0.12963188784059082;0.13108620322661726;0.12873903560142907;0.12905975382609855;0.1279541850790622;0.1283536862448045;0.12785008755663294;0.1280579059124021;0.12687819866346176;0.12602089847189116;0.12424403454622206;0.12334465800427424;0.12408256506668244;0.12270921514995523;0.12285289308443727;0.1236243911426796;0.12381693717360877
MFC;0.15925743742735538;0.2037487122792418;0.2485753477220681;0.2588643310837917;0.2880466392766747;0.30219191569522436;0.3082233550895196;0.3066901982132019;0.30863108964178315;0.31320368984334945;0.31522237622497984;0.3148159669037026;0.3167463367075602;0.31671527090165974;0.325467129692179;0.32454610934733863;0.3197498495512135;0.32105867340298994;0.3222671343867638;0.325595948406179;0.3293376309797513;0.3304981969308114;0.3335204809499433;0.33149770889457625;0.33401851944448785;0.3344589454023611;0.33154779302220416;0.33551372201343344;0.3386800624470516;0.33791879767624267;0.3387527055350588;0.33686698741712784;0.3380838412248444;0.33756600177878443;0.3389408751670745;0.34078347641310225;0.3395313732224036;0.34398872626267735;0.3464601206961988;0.3467754172246561;0.34624704182655364;0.34716321774673403;0.3482408374766746;0.34958828718289053;0.3493534624282064;0.34821685414202075;0.34801026315989303;0.3466148617086599;0.34731753192448994;0.3468925788739196;0.34471372560481467;0.3448619554478651;0.3441849006870857;0.34341332920133466;0.3432286500623549;0.343301822664185;0.3439441002465302;0.34262730562974325;0.341944782011994;0.34274901500877386;0.34211600720167457;0.3416166643241501;0.34271787816325117;0.3411584157786953;0.34165306287749203;0.34195571435318917;0.34214417112855194;0.34278585532111133;0.34384552769640264;0.3444762998448017;0.3438474254691684;0.3431860919558839;0.34389894770141816;0.344934041561355;0.3452284088619434;0.3451854298904835;0.34543554905795737;0.344915643493136;0.34616629843069535;0.3466389202617372;0.34559724180488116;0.34534153140125623;0.34546253396589405;0.344373577148003;0.3445717866486487;0.34359459784147484;0.34361544170240266;0.34406345278162265;0.34303302903063415;0.34390332051850186;0.344534547559272;0.34449165335778154;0.3442043858406166;0.344538198040701;0.34446303632944797;0.345740443356014;0.3463879253369034;0.3448457715473681;0.34440210522756587
RDKit;0.10589913478957323;0.1546872222197793;0.18730536288931768;0.1728797228571571;0.16633189966013093;0.17338010321982195;0.18335422050206754;0.19392201886344343;0.19938347696709194;0.20394034636961744;0.21298328911683978;0.21603024597284143;0.2167753847494002;0.21723804073629238;0.22237109520269316;0.2213348617239423;0.22703094579072688;0.2303034970262934;0.2317945404939936;0.22905801126595282;0.23857028712758704;0.24129745524372467;0.24370851435303634;0.2455163969238483;0.24844448956753898;0.24847380923146403;0.2442538926966923;0.2441688224505647;0.24129379222589178;0.2439291872986027;0.24654001758630623;0.24560703094543257;0.2463501418094134;0.24456613511836447;0.24737401797572278;0.2455189167410374;0.2433973226014075;0.24419427135053468;0.24211130485625904;0.23744041924791226;0.23582493704695526;0.23778531601695385;0.23811174964787032;0.23611648425363194;0.2348519903200814;0.2349356803678339;0.23516999829361637;0.23377786048620522;0.23392473162185873;0.2342489869033502;0.23477313633938632;0.23503621277577524;0.23447219876919737;0.23444760950835378;0.23483350628794983;0.23591130152754536;0.23629932352609262;0.23658939501893572;0.23731238793947323;0.23716142396642365;0.23518741911930066;0.23591218026976338;0.2355576824062293;0.23476397819783248;0.23344805874143393;0.23281230188004512;0.23270556753399005;0.23199897819950405;0.23340527975546513;0.23387165786038022;0.23168527857011834;0.22860487697632828;0.22966147196294157;0.231218596606651;0.2316836667467564;0.23313535187584486;0.23272059689138255;0.23302630844358088;0.23345000009312758;0.23402512254752722;0.23327409763083934;0.2329837933190662;0.23330608635485742;0.2325498015212652;0.23172059899272263;0.2327957926300177;0.23237928493689225;0.23284124246699434;0.2323654548954753;0.23217995790538234;0.2313303102929512;0.23222490151042893;0.23179604784732274;0.2323330578428722;0.2326868208343476;0.23212533858439122;0.2329882401606303;0.23212810495085756;0.23104134976428456
CDDD;0.08584044099678216;0.1360337911484774;0.16691567367602084;0.18325396715099215;0.17769694821901638;0.17649218308651426;0.1796861215179183;0.1944599631195712;0.2006341963775858;0.20875939316927888;0.22197164000376524;0.22416075342402625;0.2207865283707895;0.23216443544943538;0.2348233488159116;0.24596254366071307;0.2554993246101931;0.26383247825507017;0.26666113990345014;0.2701165853328659;0.27520843860927774;0.2759868985505004;0.27772280843242947;0.2730996148864472;0.2749447574406423;0.2778587967755318;0.2733523231198176;0.2766875999539425;0.2764431472410432;0.2797930212251109;0.28198526874635343;0.28533211369644396;0.2864018862344984;0.28861208528919147;0.29069960906478;0.28812095435321017;0.29177299566899484;0.2930294436191113;0.29409072065410513;0.2948890042317647;0.29518962063122445;0.2983131904364765;0.29983388787220644;0.3006791769948726;0.3020619692116427;0.30489918844813124;0.3059134462077713;0.30565701466243483;0.3049755614147922;0.30554993586375756;0.30398277015747494;0.30567267382488167;0.30627270074113794;0.30516400863860915;0.3037468708538829;0.3026770481702128;0.30172829729988787;0.3036441959148134;0.3046251713129446;0.3057154402744465;0.3043459348549233;0.3057778596265661;0.3072962831974125;0.3058842011652982;0.305124382259742;0.30489430939911755;0.30559479589277805;0.3047137923462413;0.30555222704081797;0.3061895515496691;0.3053309857782736;0.30589001686277667;0.3072190619340858;0.304846033498513;0.30442944760210594;0.30523558852016897;0.30430985030865104;0.3047244781381592;0.30314877036503;0.30513105043268746;0.30664349652674755;0.3061071336484293;0.30667075484768413;0.3059766481896788;0.3053022386101279;0.3061613273286586;0.30568093949387026;0.30360278757567394;0.3046031096299211;0.3044933020739893;0.30249163177128785;0.30362675479209417;0.30560749049418223;0.3071296039465842;0.3075849559857604;0.30810042127570547;0.3087453577696262;0.3100642680538186;0.30985269713447416
