id;y
CHEMBL508215;1.769551078621726
CHEMBL502243;1.1674910872937636
CHEMBL415812;-3.838849090737255
CHEMBL20034;-2.342422680822206
CHEMBL267406;-4.2552725051033065
CHEMBL194631;-2.3541084391474008
CHEMBL194632;-2.397940008672037
CHEMBL198925;-2.3010299956639813
CHEMBL198502;-1.6434526764861874
CHEMBL197529;0.9604093769761876
CHEMBL198762;-4.113943352306837
CHEMBL198105;-3.0
CHEMBL198232;-4.230448921378274
CHEMBL198311;-4.012837224705172
CHEMBL216710;-3.0791812460476247
CHEMBL216101;-3.6989700043360174
CHEMBL217867;-2.690196080028514
CHEMBL220336;-3.462397997898956
CHEMBL219721;-2.633468455579586
CHEMBL219782;-2.845098040014257
CHEMBL221009;-2.3999183924178245
CHEMBL220101;-2.0078893781945206
CHEMBL220146;-1.6989700043360187
CHEMBL223156;-2.3081852361456345
CHEMBL223642;-2.8900016131846367
CHEMBL223805;-2.838849090737255
CHEMBL223756;-1.806179973983887
CHEMBL236590;-1.268909547536637
CHEMBL236593;-0.5162641508390046
CHEMBL237661;-1.244275358250222
CHEMBL237662;-0.3890756251918218
CHEMBL237663;-0.8116246451989503
CHEMBL237848;-1.127636252551653
CHEMBL237849;-0.93753063169585
CHEMBL238275;-3.0
CHEMBL238276;-0.3890756251918218
CHEMBL239630;-2.11653146760455
CHEMBL240686;-3.0651668842475037
CHEMBL240904;-2.686087643057532
CHEMBL241117;-2.963787827345555
CHEMBL255755;-2.813580988568192
CHEMBL255136;-2.7187341691136826
CHEMBL256813;-2.7323937598229686
CHEMBL256901;-2.075546961392531
CHEMBL255966;-2.320146286111054
CHEMBL257094;-2.608288780428349
CHEMBL255967;-2.537819095073274
CHEMBL256203;-2.556302500767288
CHEMBL255998;-2.5413172986513803
CHEMBL255999;-3.0755469613925306
CHEMBL256802;-3.184123354239671
CHEMBL257252;-2.0821466796572308
CHEMBL257902;-2.602667153971052
CHEMBL257731;-2.5185139398778875
CHEMBL257732;-2.678518379040114
CHEMBL258070;-3.366015848437097
CHEMBL258329;-2.5276299008713385
CHEMBL262961;-4.653212513775344
CHEMBL265399;-3.903089986991944
CHEMBL267182;-4.0
CHEMBL264010;-1.462397997898956
CHEMBL267137;-4.0
CHEMBL269517;-4.977723605288848
CHEMBL269027;-4.0
CHEMBL270796;-2.3388034763602468
CHEMBL268420;-2.029992175377848
CHEMBL270175;-2.5032971930920684
CHEMBL270390;-1.944482672150169
CHEMBL270392;-2.9175055095525466
CHEMBL275984;-3.931966114728173
CHEMBL274851;-2.672097857935717
CHEMBL402699;-4.0
CHEMBL371646;-0.6720978579357175
CHEMBL376263;-3.5185139398778875
CHEMBL376719;-2.850002586092461
CHEMBL374251;-1.6989700043360187
CHEMBL376040;-4.146128035678238
CHEMBL375533;-1.380211241711606
CHEMBL375224;-1.806179973983887
CHEMBL374579;-3.650000396536852
CHEMBL374064;-1.591064607026499
CHEMBL374666;-2.255272505103306
CHEMBL385322;-2.724275869600789
CHEMBL384703;-4.0
CHEMBL384581;-2.4771212547196626
CHEMBL382469;0.1338031200885157
CHEMBL392937;-0.8494850021680094
CHEMBL391660;-2.4239472021788324
CHEMBL392634;-0.5395906230238123
CHEMBL392635;-0.6505149978319906
CHEMBL392636;-0.3890756251918218
CHEMBL392730;-0.8010299956639813
CHEMBL398575;-2.0556312568295323
CHEMBL409807;-4.609827473777406
CHEMBL402887;-2.946478383710857
CHEMBL403373;-3.0277572046905536
CHEMBL402844;-2.8228216453031045
CHEMBL404977;-4.380211241711606
CHEMBL403765;-2.4800069429571505
CHEMBL407854;-2.4471580313422194
CHEMBL408025;-4.0
CHEMBL408415;1.3010299956639813
CHEMBL412463;-3.4771212547196626
CHEMBL410450;-4.707570176097937
CHEMBL406587;-3.653212513775344
CHEMBL407697;-3.9542425094393248
CHEMBL414492;-5.0
CHEMBL408093;-2.863322860120456
CHEMBL406459;-2.201397124320452
CHEMBL415263;-0.6020599913279624
CHEMBL405767;-4.505149978319906
CHEMBL419684;-3.740362689494244
CHEMBL429765;-2.3010299956639813
CHEMBL429803;-2.780550691824528
CHEMBL428655;-3.4771212547196626
CHEMBL426646;-4.698970004336019
CHEMBL428247;-2.2695129442179165
CHEMBL445069;-2.7535830588929064
CHEMBL438008;-4.0
CHEMBL438120;-1.0536049848239342
CHEMBL438426;-2.76999730402854
CHEMBL438224;-4.0
CHEMBL451246;-4.6020599913279625
CHEMBL452686;1.2441251443275083
CHEMBL453643;-0.5563025007672873
CHEMBL453644;-1.9168921873282396
CHEMBL453865;-2.0791812460476247
CHEMBL447297;1.6989700043360187
CHEMBL455670;-1.428666248215634
CHEMBL455458;-1.0965622991772308
CHEMBL455674;-1.2341736652060786
CHEMBL464079;-1.1734697313494953
CHEMBL463880;-1.0736835538968932
CHEMBL464078;-0.8890756251918217
CHEMBL466192;-0.5427577564978949
CHEMBL466555;-0.4771212547196624
CHEMBL465934;-1.778873870820734
CHEMBL471358;-1.3617278360175928
CHEMBL471359;-1.7708520116421442
CHEMBL471704;-3.029213012228502
CHEMBL471705;-2.770852011642144
CHEMBL471706;-2.234173665206079
CHEMBL471530;-2.462139643030941
CHEMBL482178;-1.434615859865488
CHEMBL480999;-1.979997419164208
CHEMBL487068;-1.6300356939925376
CHEMBL487076;-2.1760912590556813
CHEMBL487077;-2.113943352306837
CHEMBL488083;-2.0221914735367683
CHEMBL488082;-1.462139643030941
CHEMBL488065;-3.1760912590556813
CHEMBL488066;-2.6532125137753435
CHEMBL487244;-1.806179973983887
CHEMBL487240;-2.6281182666029617
CHEMBL501603;1.3565473235138126
CHEMBL499488;1.275724130399211
CHEMBL508453;1.958607314841775
CHEMBL500384;-0.255272505103306
CHEMBL499810;0.744727494896694
CHEMBL518422;-0.8740940135031002
CHEMBL517467;-0.276151554669177
CHEMBL520778;-1.8868932224905968
CHEMBL519242;-2.8222192947339195
CHEMBL520905;-2.9856379243690525
CHEMBL521076;-2.145017305681259
CHEMBL530116;-2.21579432337154
CHEMBL549503;-0.9194245453686276
CHEMBL556703;-2.146238796833892
CHEMBL564487;-0.4634283544748461
CHEMBL562069;-0.0431799153373741
CHEMBL564466;-1.2127671102491318
CHEMBL563727;-1.219429329710281
CHEMBL564088;-0.8482958429756626
CHEMBL570531;-1.041392685158225
CHEMBL570793;-1.846335349578184
CHEMBL571459;-2.338438215986568
CHEMBL570933;0.2076083105017461
CHEMBL570746;-0.772653558232912
CHEMBL571203;-0.7799533125180562
CHEMBL570748;-1.218081323520378
CHEMBL572114;-1.859043147391546
CHEMBL577110;-2.150872995512628
CHEMBL577320;-2.4596436702521918
CHEMBL577957;-2.029743842137224
CHEMBL585568;0.9208187539523752
CHEMBL1092882;0.3577846330777403
CHEMBL1092883;-2.298847592962756
CHEMBL1090848;-0.6882884785282559
CHEMBL1090515;-1.0284524256682364
CHEMBL1089433;0.085026652029182
CHEMBL1089772;-1.250392586458728
CHEMBL1090846;-2.314194465025156
CHEMBL1090841;-1.2483956578500213
CHEMBL1092837;-0.2736411539816516
CHEMBL1162991;-1.223052599778371
CHEMBL1092208;-0.0043000858809588
CHEMBL216229;-4.0
CHEMBL405694;-4.0
CHEMBL411078;-3.680335513414563
CHEMBL407740;-3.4771212547196626
CHEMBL452966;2.0
CHEMBL386824;-3.812913356642856
CHEMBL414503;-4.0
CHEMBL268539;-2.311753861055754
CHEMBL415186;-2.58000068958904
CHEMBL407401;-3.531478917042255
CHEMBL265906;-2.792391689498254
CHEMBL450668;1.585026652029182
CHEMBL439085;-4.380211241711606
CHEMBL507339;-2.4471580313422194
CHEMBL404978;-3.6020599913279625
CHEMBL269328;-3.630936119064192
CHEMBL405511;-2.556302500767288
CHEMBL266506;-3.4771212547196626
CHEMBL508349;1.2006594505464183
CHEMBL263335;-5.0
CHEMBL507893;0.8860566476931632
CHEMBL435149;-3.76000004729273
CHEMBL1092838;-0.5776680187325309
CHEMBL437079;-4.0
CHEMBL451164;1.6575773191777938
CHEMBL470321;-2.479997419164208
CHEMBL411804;-2.230448921378274
CHEMBL1090847;-1.2902914384071835
CHEMBL428096;-3.845098040014257
CHEMBL525571;0.3010299956639812
CHEMBL413872;-1.8300109359361176
CHEMBL414069;-4.0
CHEMBL407774;-3.431363764158988
CHEMBL262749;-3.653212513775344
CHEMBL409205;-4.0
CHEMBL266666;-4.845098040014257
CHEMBL220715;-1.7323937598229686
CHEMBL237664;-1.122756333907075
CHEMBL376292;-2.041392685158225
CHEMBL508016;-1.7571410239301892
CHEMBL488255;-1.8573324964312683
CHEMBL512773;0.3802251395797634
CHEMBL519421;-1.1956790392478185
CHEMBL1770719;-0.0299709440309773
CHEMBL1770724;0.4102241044174061
CHEMBL1770725;-0.0552948551496245
CHEMBL1770720;0.0430930738081416
CHEMBL1770721;-0.39654580008829
CHEMBL1770714;-0.0390470752032053
CHEMBL1770715;0.3616542355774801
CHEMBL1770716;-0.2875939224638305
CHEMBL1770717;-0.5403132434609028
CHEMBL1770726;0.0162260118905689
CHEMBL1770727;-0.4634283544748461
CHEMBL1770564;-1.127636252551653
CHEMBL1770565;-0.7410077882253558
CHEMBL1770566;-0.9732261325065366
CHEMBL1770722;-0.0165107223414553
CHEMBL1770723;-0.0078893781945205
CHEMBL1770567;-1.1812412373755872
CHEMBL1770568;-0.1487708339090799
CHEMBL1770557;0.0084124639810935
CHEMBL1770558;-1.0524142018268277
CHEMBL1770556;-0.2921656121837653
CHEMBL1770559;-1.187923218154578
CHEMBL1770560;-1.2470772970092214
CHEMBL1770561;-1.1933386419804188
CHEMBL1770562;-0.8459825513836802
CHEMBL1770563;-0.9884041686690332
CHEMBL1770718;-0.4319586884789302
