;member_1;member_2;member_3;member_4;member_5;member_6;member_7;member_8;member_9;member_10;member_11;member_12;member_13;member_14;member_15;member_16;member_17;member_18;member_19;member_20;member_21;member_22;member_23;member_24;member_25;member_26;member_27;member_28;member_29;member_30;member_31;member_32;member_33;member_34;member_35;member_36;member_37;member_38;member_39;member_40;member_41;member_42;member_43;member_44;member_45;member_46;member_47;member_48;member_49;member_50;member_51;member_52;member_53;member_54;member_55;member_56;member_57;member_58;member_59;member_60;member_61;member_62;member_63;member_64;member_65;member_66;member_67;member_68;member_69;member_70;member_71;member_72;member_73;member_74;member_75;member_76;member_77;member_78;member_79;member_80;member_81;member_82;member_83;member_84;member_85;member_86;member_87;member_88;member_89;member_90;member_91;member_92;member_93;member_94;member_95;member_96;member_97;member_98;member_99;member_100
MACCS;0.29731222332615304;0.30728813953643264;0.31015529413217335;0.3093416384451254;0.3097212135079018;0.30886326977430556;0.30860942925073176;0.30607321693163336;0.3064827373785227;0.30616206934849566;0.3064831438007053;0.3062843044737993;0.3062088720892805;0.30611026166047495;0.3054556667226388;0.30464137492217436;0.3044221769225627;0.3049656916969612;0.3052168051716837;0.30560734001287515;0.30604770896398326;0.3061894710477887;0.3069700853766021;0.30758923808857996;0.3073475830180499;0.30749196774624343;0.3073153740907024;0.30740215210928057;0.3075819653839489;0.3078152732987053;0.3080562815114749;0.30831339335648467;0.3085586476455592;0.30850423494337686;0.30801143752082494;0.3081562622365017;0.30820512916079745;0.3085143102050508;0.3086458724330653;0.30880858000845146;0.3088280014339283;0.3090935599095256;0.30929212974496645;0.30957232416898783;0.30931051039416146;0.30907111391908226;0.30906278051381264;0.30898981714040197;0.3089878719705399;0.30893226342179214;0.30890801450282457;0.30904563528462337;0.30903402785957335;0.3091445247871425;0.30910002096076505;0.30932188889555223;0.3093152277035762;0.30929610376424677;0.30946177314586487;0.30964536075238025;0.3097756829049597;0.30947511335000355;0.3096032024755482;0.30954026712076843;0.30939509404718246;0.3092224728361034;0.30942962052789924;0.309444504494527;0.3095911491743185;0.3097174941454607;0.3096266671548449;0.3095037416353468;0.3094858259288382;0.30953839682950457;0.3096166612138206;0.3097601317406288;0.30988800603961775;0.30993128099288236;0.3097557184825591;0.30979513696323446;0.3097569014994992;0.3098044233243956;0.30975177267207665;0.3095932158231024;0.30962387870818553;0.3095967013588635;0.30969715730808134;0.30963619557883115;0.3094121042826484;0.3094116292715112;0.30927776383366123;0.309256707210672;0.3091621235909813;0.3090989966237613;0.30914728429082394;0.3090547665682917;0.30904102033175707;0.30897446892571445;0.30900804062515785;0.309060771450574
MFC;0.48967489659675845;0.49187258691244806;0.502298902922125;0.5019363730864265;0.4996410199473681;0.5016129618334303;0.5029114392022099;0.5009608807695456;0.5004158058893727;0.500207004745524;0.5003599072249899;0.500386363318603;0.5004331225395688;0.4996487222969045;0.5004842630010432;0.4993694710218832;0.49895787796326196;0.49945178425710157;0.4998231099185346;0.5003398495926621;0.5007777833223478;0.500383980102854;0.5012937821241146;0.5019117396018076;0.5022266659755872;0.5016083259431559;0.5021143284200952;0.5023443759987942;0.5023658701010432;0.502637653780297;0.5028552249031637;0.5028260206107369;0.5030541836441255;0.5030066324590214;0.502823689772995;0.5028638400861842;0.5028247771041308;0.5031787846249862;0.5030229405146078;0.5030813632454506;0.5033768599788098;0.5036569462026459;0.5039261451071706;0.5040783347621418;0.5035968083188229;0.5034139271348588;0.5036199143519786;0.5036806922224362;0.5037336699892904;0.5036861158370017;0.5036823860553374;0.503832030312749;0.5035488529301215;0.5037618574398508;0.5040054401729677;0.5041031316581839;0.5040424355872115;0.5040365334652072;0.5041533135653095;0.5043016845224949;0.5043950842720493;0.504284296923466;0.5044108238207964;0.504322581694549;0.5041492543268553;0.5040535336459107;0.5041841136438346;0.5040994319723714;0.5040929637731024;0.5039714252753416;0.5037021531463157;0.5034120500432544;0.5034290839901276;0.503485553443203;0.5037400520409547;0.5037962163928731;0.5039399623383005;0.5038835555149996;0.5037578638227069;0.5038321819280365;0.5037547101271411;0.5039025338919287;0.5040236348817884;0.5039471841386562;0.5039560064329511;0.503960329643971;0.5041343553143871;0.504128412756331;0.5039824666736901;0.5039896157592902;0.5037209714164457;0.5037120591126056;0.5036668895061021;0.5036409490385687;0.5036463895725376;0.5036650299706845;0.5036259794439961;0.5035485833866653;0.5034130854797534;0.5035424435998748
RDKit;0.39136410978272074;0.4181894638732383;0.4295425028328669;0.4314775667717846;0.4329754529912023;0.43509480679635637;0.4379633682208509;0.4359737842809538;0.4365612742632021;0.43597145515685676;0.4371020897115153;0.43594368198707356;0.4363275776583837;0.43568634970367826;0.43650013957282874;0.4361888078629619;0.43525993897974813;0.43557600728940926;0.43594568929349586;0.4363088010893218;0.43730794630443093;0.43688544235865445;0.43801515034592187;0.4384737578482635;0.43847041595187963;0.43866587502689824;0.43855800812089296;0.4386640773469148;0.4387839892430744;0.4392163701129268;0.4394196359399385;0.4392859198906658;0.4394312396687322;0.4396417306500937;0.439578027677065;0.4395915527406452;0.4398228518778051;0.4396716651482111;0.4391109982151672;0.4392834161244211;0.43958037121328963;0.4400405325953691;0.4401088741444641;0.4405432037617186;0.4403252860113589;0.44040991447486166;0.4407099862367697;0.44089688751725553;0.44106089955558336;0.44111253919218185;0.4411615149201292;0.44139956553144166;0.4411280050722849;0.44124479358344926;0.44134008379156653;0.4415557344472404;0.44125691474776607;0.4414239760382882;0.44146845208201957;0.4417006496706197;0.44185714789192476;0.4418223886482404;0.4419546139847229;0.4418634570876995;0.44165269161130316;0.4414663867095775;0.44183766267191027;0.4417782084708829;0.44174509240477633;0.4417803368218527;0.4415772746802574;0.4413464764749485;0.4413340043867592;0.4415155127950361;0.44182346975206266;0.44178252950857966;0.44188911713378587;0.4420229255400574;0.44176483920675247;0.44166633742272154;0.44155689658926744;0.44186166825848683;0.4417929748479623;0.44174682242814023;0.4418333922126275;0.4417653205628974;0.4418983472825221;0.4418059643608062;0.44146995269209877;0.44135881012849765;0.4411685285577559;0.44112757770719546;0.44112951597666605;0.44115138441589674;0.4410460448424456;0.4410158435715785;0.44107256182511156;0.44104166505723286;0.44102733883591116;0.4410597285074791
CDDD;0.49052336041651357;0.49576425035281646;0.5092015077327401;0.5110136086448169;0.5115456530433671;0.5131606233016749;0.5155308064353386;0.514723374793733;0.5140637668032342;0.5130598010971992;0.5128008802688491;0.5124253120850768;0.5126038436272944;0.512216445389075;0.5131342952008584;0.5125042133679374;0.5118360146404104;0.5122359334215628;0.5126095911872781;0.5133716630104096;0.5144295257128941;0.5136551535034587;0.5145264136757807;0.5151404701535738;0.5151801727938854;0.5148384572942049;0.5153121904358098;0.5154890313634104;0.5155110245141139;0.5159705110674142;0.5162971467526732;0.5161710394652261;0.5162606359349307;0.5164660111318364;0.5161033198065803;0.5163489484208352;0.5163636850182857;0.5162550842481664;0.5160333251544965;0.516313395470851;0.5166883050262425;0.5167501983135336;0.516917441756281;0.5172771339457305;0.5169527320861238;0.5167862385745872;0.5171321473444654;0.5171557140552274;0.5172645862205641;0.5171032148653143;0.5172306408013461;0.5176125874493824;0.5172282678443698;0.517522885524734;0.5176444086497662;0.5178922291889305;0.5173064029666647;0.5172879232715522;0.5173815694704298;0.5176117303618291;0.5178415177504494;0.5178825091347429;0.5179871479846565;0.5179232891918983;0.5179438992638887;0.5177386509626312;0.5181045318885122;0.5180632171791943;0.5182201162369764;0.5181854365279024;0.5177554989197849;0.5174289763333904;0.5173953811329957;0.5173732092854182;0.5175898641226129;0.5176544812628154;0.5177665205613626;0.5177754285317593;0.5176074738406764;0.5174735975903886;0.5174584346889823;0.5175801049230424;0.5176195310864834;0.5176956719042858;0.5176466443099139;0.5175721552305788;0.5176913730200094;0.51762305971168;0.5173097424880182;0.5173183642640187;0.5170567288871879;0.5171220737319197;0.5171019464293792;0.5170706397427502;0.517040103031;0.5169785429473739;0.5169087161366195;0.516861161415292;0.5167335443598831;0.5167840902608662
