;member_1;member_2;member_3;member_4;member_5;member_6;member_7;member_8;member_9;member_10;member_11;member_12;member_13;member_14;member_15;member_16;member_17;member_18;member_19;member_20;member_21;member_22;member_23;member_24;member_25;member_26;member_27;member_28;member_29;member_30;member_31;member_32;member_33;member_34;member_35;member_36;member_37;member_38;member_39;member_40;member_41;member_42;member_43;member_44;member_45;member_46;member_47;member_48;member_49;member_50;member_51;member_52;member_53;member_54;member_55;member_56;member_57;member_58;member_59;member_60;member_61;member_62;member_63;member_64;member_65;member_66;member_67;member_68;member_69;member_70;member_71;member_72;member_73;member_74;member_75;member_76;member_77;member_78;member_79;member_80;member_81;member_82;member_83;member_84;member_85;member_86;member_87;member_88;member_89;member_90;member_91;member_92;member_93;member_94;member_95;member_96;member_97;member_98;member_99;member_100
MACCS;0.5951885012512916;0.6207477085469271;0.6303927914059223;0.6299735289688229;0.6309875989544356;0.637261964019123;0.6395141100095741;0.6387265419598963;0.6433898651633909;0.6435979464370194;0.6401451923358829;0.6412587149445221;0.6412319104256816;0.6442765397432446;0.6440790573275441;0.6459751889743488;0.6462125576066725;0.644898603835071;0.6447013551648707;0.6446318493813187;0.6444434748398842;0.6455666775628132;0.6458899560786666;0.6460273880334606;0.6461664535313363;0.6458982071616184;0.6455290565889306;0.6447942476416073;0.6450221496590481;0.645541120642727;0.6454787748215779;0.645964592651846;0.6460556169022734;0.6459823271057681;0.6452632597054135;0.6450508436454767;0.6451020721082387;0.6447166382361188;0.6444087921989812;0.644286622168232;0.6438127831762995;0.6444715465364969;0.6443584826383478;0.6448300903208566;0.6450331099677558;0.6446419675236461;0.6448842454528652;0.6448195912681369;0.6450976158090374;0.6455480851971872;0.6445337659293366;0.6447707906179694;0.6448237432905369;0.6446878405801277;0.6443044560516589;0.6441777465292612;0.6436440165041482;0.6437063663723375;0.6432039961407461;0.6435968939489132;0.6437512795172236;0.6438298427435073;0.6435176561992797;0.6430182182629114;0.6431512935241122;0.6437345943652764;0.6437595051609306;0.6438335160582154;0.6436562646832086;0.6435141352505795;0.6435152506737618;0.6433686216884906;0.6437179338053106;0.6438657688072924;0.644361673847881;0.6446294416666544;0.6446080456666975;0.644824857946503;0.645016108815616;0.6453671761697858;0.6454985182668479;0.6455770251481797;0.6453952758475956;0.6455586498989592;0.6454257767861216;0.6451424822195169;0.6451616411839467;0.6452253884827028;0.6450643778543941;0.645104448208422;0.6452174678352367;0.6451483412822486;0.6454072567841769;0.6453221065268929;0.6454239375658979;0.6452596612437855;0.6451877374775705;0.6452980543295943;0.6455659519486912;0.6450824982784648
MFC;0.596554558235663;0.6301004003539664;0.6331775686136212;0.6418472552925552;0.6446103502718132;0.6503931396061553;0.6510508984508001;0.6489073841089763;0.6529269009983132;0.6541701038214667;0.6501116443604356;0.650612633359519;0.6492560726162003;0.6509269916187406;0.6510417877483972;0.6513079478645207;0.6514706529735357;0.6514061592264733;0.6519314639619003;0.6528789471115011;0.6520444996163691;0.6525932268152282;0.6530977050555684;0.6540080641120998;0.6536414011233461;0.6525987933127894;0.6521706729592522;0.651864083379143;0.6509081608523724;0.6516851178082801;0.6521719863014257;0.6517834109196976;0.6520418190953752;0.6523010465417822;0.6519965507091396;0.6516735096164292;0.6514853931713405;0.6510814238131402;0.6501048789449178;0.6502960282568548;0.6506918227540834;0.6505834848238403;0.6504010913209788;0.6508407543085236;0.6507862543819056;0.6505957299306491;0.6510903670051099;0.6517427472589277;0.6518578830788597;0.652681120447733;0.6523408871334869;0.6524222528165182;0.6521110953439606;0.6521977353158662;0.6523405767746364;0.6522940248776359;0.6520878915879971;0.652039501268281;0.651723275168879;0.6521165949938043;0.6521076213972872;0.6519830145656398;0.6517790098699523;0.6509205075617341;0.6510968768702676;0.651414734786705;0.6514885984081558;0.6513307735538638;0.6513201631257424;0.6517435147687798;0.6517109260496168;0.6521296383099121;0.6526390466997427;0.6525309396911488;0.6529988866368662;0.6532693227091245;0.6529345727894552;0.6528926243503379;0.652817132954914;0.6533176887503149;0.6537171279371021;0.6535294787943753;0.6536585087269265;0.6539288115908959;0.654015052400765;0.6535498558444127;0.6537849480672452;0.6541015158318142;0.6540422168287321;0.6543067098283264;0.6542587648859044;0.6541717833066818;0.654167183593268;0.6545230381397432;0.654575333779128;0.654624070644845;0.6544002797029228;0.654524739302885;0.6547327590128731;0.6544625753089011
RDKit;0.5773091737099092;0.6042642106458156;0.6110968573950076;0.6208125635961527;0.6207866456613353;0.6286148174597266;0.6281709587820097;0.6291293134461583;0.6304479232103437;0.6311624690636355;0.6282721435960994;0.6280730736692413;0.6281851288561777;0.6296850000442111;0.6275246671426092;0.6295288152550929;0.6297327210192807;0.629077620554406;0.6293310031437603;0.6281403228541689;0.6271030986568886;0.6266219864933076;0.6266930634084811;0.626990275398204;0.6277560029342152;0.6276940607245454;0.6271832002195143;0.6266673492039155;0.6274384992570027;0.6275067687095022;0.6277523288170378;0.6275643319665134;0.6278069765730621;0.6279974294985862;0.6274801413050415;0.6274030751352944;0.6277962314912704;0.6273370541235637;0.6268540173862791;0.6271038725046878;0.6268586794122446;0.6267845465965934;0.6264037868611635;0.6265139953616311;0.6266299274974582;0.6262692593730855;0.626194541092922;0.6264767569551069;0.6265714060070428;0.62707714190734;0.6268439345554873;0.6267900380216848;0.6267219841489355;0.6265618400774285;0.6261958886714794;0.6264782583579465;0.6259884886060931;0.626262563277389;0.6260020655696579;0.6263235108175754;0.6264046176686642;0.626354690011258;0.6260573009755079;0.6254157550261572;0.6252189025061723;0.6256661304219779;0.6254806310266485;0.6253318203409042;0.6250812414970194;0.6251237495197348;0.6250047831301009;0.625082022686192;0.6251782658470193;0.6252630531374025;0.6257157767764195;0.6262027166141633;0.6262655036291962;0.6262801513577774;0.626393544231679;0.6264293022509118;0.6265879528226982;0.6265113620573624;0.6263782528810334;0.6265952210117249;0.6267171885328904;0.6265058211881854;0.6267571553252818;0.6268767942673154;0.6266010488633338;0.6265942279323544;0.6268213614250808;0.6267061389416428;0.6267812315717978;0.6266008849479405;0.6265563233452639;0.6262316166880117;0.6261520152092345;0.6262992000953692;0.6264447413856562;0.6259840872113274
CDDD;0.5689615110487787;0.5784149870466326;0.5778154107266259;0.5792461921907014;0.5801420204465519;0.5847309706122921;0.5836763905210316;0.5840700242006904;0.5851245127347378;0.584050202959206;0.581490018271051;0.581191120958181;0.5811417793713152;0.581899072011201;0.5819690305881576;0.5838010466975703;0.5818857322680502;0.580292239080235;0.5802527995287241;0.579990660406857;0.5800252652267475;0.5808291286261873;0.5810890948235787;0.5806252107696053;0.5802346293982521;0.5796971041942183;0.5798742129593031;0.5799781566904724;0.5802289720918595;0.5806558457247726;0.5804098078840729;0.5802691682996077;0.5803447510692927;0.5807753999538778;0.5801833997035551;0.5805209818289413;0.5803817049462389;0.5800717359515988;0.5796420580687891;0.5795680431950139;0.5792700673820013;0.5794717529083606;0.5794987147122903;0.5799680706178449;0.5795685219108404;0.5793477169899619;0.5796778908162386;0.5798690938367852;0.5799292094866016;0.580771314078192;0.580529860955769;0.5802268845337601;0.5802327401630752;0.5802034190559191;0.5800522825912431;0.5800910688047844;0.580095574886796;0.5800464610912828;0.5798546744126434;0.5803326206026176;0.5804429767063808;0.5805477184085506;0.5803397387027682;0.5797936809347795;0.5796765118407838;0.5800581632433824;0.5801505062208385;0.5802748580207198;0.580057826516569;0.5800746111752189;0.5799500201989912;0.5801610380677955;0.5803106473872821;0.5801680179977018;0.5804600444473569;0.5807180581806219;0.580517658802729;0.5805912788947163;0.5805453751935429;0.5805955748639549;0.5808119213383323;0.580869138342178;0.5809031951190078;0.5810662038797805;0.5811301938953322;0.5807548255324625;0.5807687595702451;0.5807903938413639;0.5807312156227273;0.5805642373030632;0.5805672194871687;0.5802528765348005;0.5802482654529622;0.5803695748172959;0.5801230902806116;0.579903754133746;0.5799254622499953;0.579750931603926;0.5798400426516808;0.5796564083073334
