descriptor;RF;XGB;SVM;Shallow;Deep
MACCS;0.49280818685711614;0.5161153816867525;0.23635491218831128;0.32516442751763;0.3596668587891728
ECFC;0.49742428828715646;0.5811643043168646;0.4539518544119181;0.6139489471306336;0.5861808082879869
RDKit;0.5010294193558271;0.5533887787450723;0.5096046877118044;0.08880677829559835;0.539340191694601
CDDD;0.44516405408424;0.48964823716903016;0.5425127145147384;0.25723391527445405;0.47680377182261646
