;member_2;member_3;member_4;member_5;member_6;member_7;member_8;member_9;member_10;member_11;member_12;member_13;member_14;member_15;member_16;member_17;member_18;member_19;member_20;member_21;member_22;member_23;member_24;member_25;member_26;member_27;member_28;member_29;member_30;member_31;member_32;member_33;member_34;member_35;member_36;member_37;member_38;member_39;member_40;member_41;member_42;member_43;member_44;member_45;member_46;member_47;member_48;member_49;member_50;member_51;member_52;member_53;member_54;member_55;member_56;member_57;member_58;member_59;member_60;member_61;member_62;member_63;member_64;member_65;member_66;member_67;member_68;member_69;member_70;member_71;member_72;member_73;member_74;member_75;member_76;member_77;member_78;member_79;member_80;member_81;member_82;member_83;member_84;member_85;member_86;member_87;member_88;member_89;member_90;member_91;member_92;member_93;member_94;member_95;member_96;member_97;member_98;member_99;member_100
MACCS;0.10240522115220316;0.09445012676697338;0.1515768196486467;0.18362372310435698;0.1795270183463525;0.1748031365828103;0.1946702438416799;0.2007638677201201;0.19590512555551065;0.1909789440364904;0.18788679112104578;0.193830835108767;0.2015746760104063;0.1955613640523738;0.20444306119810549;0.2134204498139109;0.2178559588283473;0.21570907233035336;0.21783260740329774;0.2054751320123534;0.2090590728880812;0.21353793838551868;0.21832209130754632;0.2158826811239478;0.2168373831994451;0.2226379539836123;0.22242629169312825;0.2190103823324983;0.21638128982153987;0.21292065251598347;0.2093195957954269;0.21426079025099032;0.21607677041562795;0.2164036355078441;0.21693208721693255;0.22171144916530083;0.22499012090259748;0.22867266074768083;0.23041174761370195;0.23565985696200703;0.2349126845050586;0.23690549182727552;0.23040765151408482;0.23099807501604153;0.23208621119379907;0.2341294517425521;0.234555665536643;0.23523976903118285;0.23362177311009347;0.235860419553975;0.23744122142764798;0.23655361126954036;0.2368977933543344;0.23667653083037263;0.23641560562752884;0.2377161904006077;0.23636676329682627;0.2376538894568773;0.23757119944585625;0.23762816083115712;0.2392310523849083;0.23803908739631974;0.2389787582491149;0.2391087911258002;0.24038803595132005;0.2432738478485511;0.2428207168284047;0.24420199842117302;0.24435461470422962;0.24288546811744177;0.24091206240992924;0.2420242266006195;0.24286816941102293;0.24296428146275373;0.24527850460180334;0.24577910649072698;0.2450382427586353;0.24539399998207956;0.24341838164932744;0.24169275339633403;0.24191829488150296;0.24186449700170995;0.2427139622321329;0.24192771225339058;0.24147463609172118;0.2418793453628221;0.24513364165016496;0.2460321503590396;0.2472136739508362;0.2474230504714446;0.24673133993475865;0.24624154516580699;0.24728914092905027;0.2476876694784074;0.24846989650216864;0.2490666470151411;0.24791772764485062;0.24803945860534757;0.24744930939577595
MFC;0.12013875080616251;0.13640351058049513;0.17288971861116675;0.18970729797729158;0.18942361478231154;0.19926948623390522;0.20853665561146448;0.22536021447470175;0.2298336672690737;0.23491590286904349;0.24486139731489698;0.25173328101053705;0.25593518434368323;0.2512931331632843;0.2517356764973667;0.2520794562866626;0.2598369935213967;0.2587106758436365;0.2697946848353066;0.2720386525514586;0.27875515875403234;0.27713877201493536;0.27129091322358095;0.27161726630334504;0.2723420382155123;0.2730669747031105;0.2715854483866762;0.2685390291549033;0.27024900445578837;0.2691384494470906;0.2729858207294459;0.27211166918436597;0.27149849770060697;0.27215967035175437;0.2760773153431663;0.27638722916598474;0.27575094397724326;0.2761000998972866;0.27534793531892987;0.27872604718889615;0.28219796705455874;0.27685990809010763;0.2746882438466618;0.2719113443124651;0.2738638489402348;0.2741148630448978;0.274796607624926;0.272488254342917;0.2771323901454426;0.27830104028129965;0.279979819394922;0.28047892181880724;0.2813347140602459;0.28345471990450233;0.28445451564810625;0.28551981241326646;0.2864782448652008;0.2866245707095597;0.28722856254149814;0.2894781623946237;0.2900928882018982;0.29099028145507355;0.2925428129269247;0.2928233408922219;0.2934870004609941;0.29214944107440693;0.2924098908371166;0.2912149634907692;0.2920764427276586;0.28959190230363546;0.2906149763276528;0.2903283590714069;0.28963428962020926;0.28748926831043387;0.2883031303892739;0.2873288804098001;0.2881194642082267;0.2884089158191185;0.2882937678758633;0.2892356696400571;0.2903446154667625;0.2898386374470913;0.290371733840567;0.2931521808896107;0.2905499324600717;0.29021215053092947;0.28950540877154135;0.28987250341356874;0.2902909090177645;0.28987912300312857;0.28917069891711195;0.29041344456925766;0.28992990366668575;0.29032561614755614;0.2890000159089583;0.28897717649636095;0.2886519022999782;0.28829552334712777;0.2871118968470456
RDKit;0.11518005638308683;0.1412815538305348;0.16538007765665463;0.1981938495518787;0.17483407596472747;0.1722253359487417;0.20113037720505936;0.2153697543638547;0.21429258988150018;0.2266089397008421;0.2264297170564331;0.23372905800497643;0.24745912906316167;0.25098733372624193;0.25180386558429674;0.2595920138492054;0.26552437298132237;0.26288397962409876;0.26733327640242494;0.2558175677689624;0.25935593953644953;0.26140177671978126;0.2627906653546957;0.2629993652874209;0.26441968782966513;0.2655469563876936;0.2649021864211738;0.2722395625804477;0.27257337641308577;0.2759539386283589;0.27337279242631174;0.2721209585531406;0.27508598609118173;0.27693894086932763;0.28104974255831044;0.28525451681842046;0.2857458659108875;0.28901656488285793;0.28595749162905354;0.2880232972980189;0.2882051165770066;0.28705915956447486;0.28756524730110006;0.2849069152218925;0.28434064773598156;0.2882489667863008;0.28722530760519527;0.2863769944027896;0.2852391747310152;0.2837498402246857;0.28576863217884885;0.2866854636190466;0.28694157956207206;0.2896867708965539;0.2900623868886777;0.29442094774602057;0.29471901213780377;0.2962517762717703;0.29797199182169826;0.29758959166458354;0.2983463094965327;0.29893408150543366;0.2996761521240197;0.29887684582774765;0.3003351121499275;0.2991692415102392;0.30062176597849144;0.3007123556102027;0.30039995486975957;0.29830719540242073;0.2987463923694053;0.2987588452436878;0.30110580060735653;0.3015977348569117;0.3033317381707294;0.3040558883534905;0.30532531351162456;0.3071462309391936;0.3075398953702554;0.30641407141878835;0.30596944346257926;0.307402109162152;0.30618079488836025;0.30663783914653375;0.3060935881960649;0.30717056981682944;0.3071314922950355;0.30702343938147436;0.3082220422457817;0.3086347059960498;0.3076892384308501;0.30732755649188814;0.3080406618346101;0.3084582628478096;0.30986110382204496;0.31105764035038475;0.31002801988144346;0.3090215496898027;0.30774652896701304
CDDD;0.07752027615025885;0.10833980510977455;0.12674679905358155;0.15396256494100793;0.15290046825367365;0.1516550345361542;0.1723930931714545;0.2006583931549787;0.2111706853853543;0.2345689047157627;0.23781392992048997;0.24088616920877803;0.24684913937106953;0.25240059781111024;0.2561116457780825;0.25361350045175957;0.26694255604296296;0.26601122367867414;0.2630244904698939;0.2649113112145173;0.2702867470879749;0.2695681193252334;0.26950768356972155;0.273889632424432;0.27399528985116345;0.2748009597307693;0.2729070439564518;0.27273338030438043;0.2784317497458681;0.2831422825917412;0.28434024544048336;0.2834617600757193;0.2881488317795889;0.2892853348479149;0.28799605092110125;0.29202218769389043;0.29098455788730493;0.28898076058352595;0.2946238143940232;0.2966150125342477;0.29925990428658655;0.2980359568058981;0.2967089668192159;0.2985898994206396;0.3008501966767832;0.2998425927432841;0.2992166758066985;0.2993407473955481;0.30072769769760804;0.30317246572579504;0.306072321393142;0.30556495362538644;0.3025661149793449;0.30340122557494886;0.30330785644706876;0.30475933860425775;0.3055701834668619;0.3069247489813238;0.30604368526813996;0.3050620659665872;0.30456727907622716;0.30663807686660083;0.3073669448783852;0.3090244389029256;0.3075531528355341;0.3084766952960868;0.30787837217343983;0.30749041302398755;0.3073331154842257;0.30832003777189004;0.3079569112263667;0.30852352614929884;0.3077945484205604;0.30772595703813227;0.3091932201505426;0.30965373877892716;0.31191409089354766;0.31191599265408426;0.312560195749675;0.3128486781941394;0.31230951079587405;0.31302918086967874;0.31212482058992247;0.31241242529875474;0.31157523008102417;0.3115132034296788;0.3128032005166937;0.31378012027538227;0.31356011949639184;0.3135315016575489;0.31186808291749085;0.3102059442085631;0.3116229203837094;0.3101917907214932;0.31029227316522623;0.3111580862217998;0.31146079529797016;0.31319741353252567;0.3135905293788173
