;member_1;member_2;member_3;member_4;member_5;member_6;member_7;member_8;member_9;member_10;member_11;member_12;member_13;member_14;member_15;member_16;member_17;member_18;member_19;member_20;member_21;member_22;member_23;member_24;member_25;member_26;member_27;member_28;member_29;member_30;member_31;member_32;member_33;member_34;member_35;member_36;member_37;member_38;member_39;member_40;member_41;member_42;member_43;member_44;member_45;member_46;member_47;member_48;member_49;member_50;member_51;member_52;member_53;member_54;member_55;member_56;member_57;member_58;member_59;member_60;member_61;member_62;member_63;member_64;member_65;member_66;member_67;member_68;member_69;member_70;member_71;member_72;member_73;member_74;member_75;member_76;member_77;member_78;member_79;member_80;member_81;member_82;member_83;member_84;member_85;member_86;member_87;member_88;member_89;member_90;member_91;member_92;member_93;member_94;member_95;member_96;member_97;member_98;member_99;member_100
MACCS;0.3877899594104396;0.46994570497909693;0.5007885180669502;0.5031613998528668;0.5070180680397811;0.5045014717202712;0.5106829029681463;0.5103916877432728;0.5131645721608635;0.5125050794533039;0.5138699281296548;0.5126306504595957;0.5143165213783094;0.5154148741544939;0.5149157773499274;0.5135154252054019;0.5128996078174708;0.5109565327372754;0.5106050888484222;0.5147286039025243;0.5171110748224352;0.5155880923973184;0.5174023558873861;0.5196930742174748;0.5192496226136575;0.5191040562090752;0.5201689149785798;0.5208962031909297;0.5206278442517871;0.518985767078877;0.5192634199288574;0.5207567228681955;0.5197297411577395;0.5195029734209666;0.5200934106470262;0.5194325187780506;0.5197173448882139;0.5203417762079952;0.5205586224808416;0.5209198153957344;0.520389164463114;0.5204575265118573;0.5193712610334724;0.519621219737273;0.5196010591883142;0.5202499419757176;0.5201968581595376;0.5205275634246211;0.5196466981428498;0.5181706676291891;0.5172671058279135;0.5169833682767104;0.5168080461402184;0.5174359370293404;0.5164290579752808;0.5163564327759309;0.5163259533985494;0.516160392076443;0.5161824456681545;0.516680826514612;0.516990038141856;0.5164662920248715;0.5168065746147394;0.5167465164992384;0.5170444841414915;0.5164177481294763;0.5162824683469394;0.5161752202580331;0.5164123831024963;0.5163845618316949;0.51628859995469;0.5158885080673992;0.5163932026350699;0.5167118954390865;0.5164569041206364;0.5165484260361956;0.5169251586746351;0.5171767891175958;0.5176292792005992;0.5181354148435938;0.5177949193109321;0.5176162964360779;0.5178350447860014;0.5177056318244773;0.5173330014312831;0.5178955939758773;0.5181865125572716;0.5184436432881354;0.5180109103420636;0.5183299711547874;0.5182852667148592;0.517998786244772;0.5179314784751397;0.5173791287972973;0.5172353366009784;0.5170800727155831;0.5168081346967178;0.5168537331161331;0.5167560118515255;0.5168627766568282
MFC;0.45508354560190345;0.5555999425431437;0.5723744049912287;0.578733759725327;0.5784130939179148;0.5792724950157531;0.5856365003766617;0.5840693597061889;0.5854934607151926;0.5866785752244761;0.589087720768923;0.5909888622599568;0.5874749117412589;0.5880781372606718;0.5900973062242176;0.5926367517423721;0.5934370273483767;0.594201683585623;0.5921319479008884;0.5938307245633301;0.5962172423273213;0.5950548635539601;0.5966446410987557;0.5968908974440128;0.5988522783220511;0.5993363653070465;0.6009873969300854;0.6010386259989952;0.6012272884300931;0.6007672233905739;0.6003213259291553;0.6002115050462986;0.5997896254333073;0.6003800661029564;0.5997910744812882;0.6001915806764319;0.6002324230292017;0.6005981992508262;0.6005504463212328;0.6007104448890944;0.599914927292668;0.6005324661469555;0.6005785811338706;0.6005706616501727;0.600941823804892;0.6014547086045284;0.6017012659597574;0.6016166422921396;0.6014194373558702;0.60062550571625;0.599661381835614;0.5996316290671662;0.5999008210328302;0.6000898784594844;0.6000174252325734;0.6003301061346453;0.6005817823372934;0.6004642931869952;0.6004943986005251;0.600823614921841;0.6008261743587646;0.6003377772697386;0.6001407209525504;0.6003639671537113;0.6008287026288799;0.6002524169826327;0.600264817672452;0.6004786181375983;0.6006883375475943;0.6009739667469417;0.6009688297190364;0.6007883893896093;0.6010401296572865;0.6010673781175588;0.601164009643768;0.6013412254816637;0.601600850146202;0.6019777960114243;0.602229288439422;0.6024256164737765;0.6022782710654289;0.6023698794678206;0.6024645368160342;0.6025231515330645;0.6022862237096749;0.602773570201936;0.6030354938641482;0.6032941499419151;0.6032325556900131;0.6029018097503914;0.6032558637788497;0.6030215324493784;0.6028934914403783;0.6026647522975639;0.6026528074208279;0.6029800897204267;0.6026851861828946;0.6027355274635748;0.6028145247685504;0.6029002695880913
RDKit;0.43441955196112725;0.4961817342007607;0.5222161931659083;0.5255603199728731;0.5328889249077922;0.5312927635355722;0.5409596193400981;0.5390939825964736;0.5394656179651032;0.5404123923754433;0.5425887989190019;0.5398597757066925;0.5361644888832952;0.5359708847420477;0.5367660963600822;0.5355896589256168;0.5362275847731952;0.5356185137007765;0.534388842167228;0.5354434581970213;0.5355379102125555;0.5347165537756544;0.5346713213184717;0.5359091267335034;0.5375956412728014;0.5380711727758247;0.5400783160507114;0.5408142504000557;0.5410848745533596;0.5417603410111222;0.5422317829594712;0.5432184494336;0.5432038694855044;0.5429003959284087;0.5430457718505848;0.543634809859252;0.5439596026646176;0.5443500171885061;0.5458945999753686;0.5464744588378183;0.5452233980755499;0.5448753472119872;0.5451533537094422;0.5455078566747975;0.5454045022714845;0.5446144668330566;0.5445896284361479;0.5445277090047126;0.5437870140210147;0.5430159468190894;0.5429896009922538;0.5426922060218139;0.5421742968962994;0.5416295395127477;0.5409193118612519;0.5408037107971982;0.5405968911858227;0.5410039547660179;0.5412647666518211;0.5412416650586327;0.541743937521423;0.5420671398258078;0.5421073982185869;0.541662776213949;0.5419280646174462;0.5417536745862364;0.5421153681552132;0.5421336349623969;0.5420317188817798;0.5420907850214818;0.5421301795517626;0.5420776270901388;0.5423205331623697;0.5421969070939607;0.5423361349551674;0.5423264261895069;0.5426274102261723;0.5427469070491454;0.5429156129379363;0.543022132275121;0.5431278764717162;0.5432722317424675;0.5430942467995198;0.5429467477520322;0.5429542031760918;0.5428676409169393;0.5428679132624226;0.5432025844903274;0.5429251738116825;0.5426221974185654;0.5426384741343928;0.5425062536774321;0.5423646128813768;0.5421477715671925;0.5423391288789559;0.5420619852379644;0.5416971317018433;0.5417564718055343;0.5417140500948345;0.5420354684662638
CDDD;0.4782295736412062;0.5456960531610718;0.5605858663775023;0.5679377459311645;0.570383482063396;0.5754102260781455;0.5794136645348478;0.577940121452406;0.5772657900965004;0.5773688893479393;0.579955576440045;0.5792954931218057;0.5761201784317866;0.5770916208596737;0.5771281664667589;0.576756909574252;0.5780004993458261;0.5762123671516295;0.5761522817077885;0.5770360209185015;0.5779645412679631;0.5765892131055719;0.5767659567230958;0.5777615164383089;0.5781492922108284;0.5785644696249364;0.5803307664634277;0.5806670945527861;0.5804327975027611;0.5801726671971121;0.579622243911682;0.5806317311748257;0.5805776577775315;0.5805034312779258;0.5806777228550156;0.581046320538035;0.5804635714174404;0.5816805632456774;0.5826581194167104;0.5835242294703725;0.5832112632178301;0.5826548146050408;0.5827741889868512;0.5821623259082882;0.5816585777864892;0.5815457248407516;0.5817192693462794;0.5817922334071254;0.5811243196569076;0.5801047411707672;0.5799445439260866;0.580190309598128;0.5800571008507619;0.5802561026829347;0.579564184385676;0.5793890812713873;0.5793028373067322;0.5792497663931271;0.580083389719931;0.5803675590588162;0.5803692398199418;0.5803065995271129;0.5803355755714502;0.5798284547135915;0.5801663375310632;0.5796353219203818;0.5798577290423783;0.5799165638231166;0.5797903123289148;0.5797361565220333;0.5796919928822232;0.5797350252300633;0.5798135620508578;0.57984778359049;0.5797815896433185;0.5795385622330194;0.5799249312123986;0.5802446657114692;0.5804999317665414;0.5806155658316159;0.5805934004322144;0.5808857306440032;0.5810616732744303;0.5809689103486607;0.5809048935273011;0.5812452254801586;0.5812343743130155;0.5815878154247687;0.5814788577852851;0.5812023934067592;0.5812340387857206;0.58112024100507;0.5814888789125179;0.5813360164831776;0.5812708497770591;0.5812749801266093;0.5810365352243608;0.5808279555192104;0.5810468089335358;0.5811689853682743
