;member_2;member_3;member_4;member_5;member_6;member_7;member_8;member_9;member_10;member_11;member_12;member_13;member_14;member_15;member_16;member_17;member_18;member_19;member_20;member_21;member_22;member_23;member_24;member_25;member_26;member_27;member_28;member_29;member_30;member_31;member_32;member_33;member_34;member_35;member_36;member_37;member_38;member_39;member_40;member_41;member_42;member_43;member_44;member_45;member_46;member_47;member_48;member_49;member_50;member_51;member_52;member_53;member_54;member_55;member_56;member_57;member_58;member_59;member_60;member_61;member_62;member_63;member_64;member_65;member_66;member_67;member_68;member_69;member_70;member_71;member_72;member_73;member_74;member_75;member_76;member_77;member_78;member_79;member_80;member_81;member_82;member_83;member_84;member_85;member_86;member_87;member_88;member_89;member_90;member_91;member_92;member_93;member_94;member_95;member_96;member_97;member_98;member_99;member_100
MACCS;0.08711201610519195;0.1704493040293882;0.20349003251457173;0.2145102065918246;0.24076486853804346;0.24326909232890018;0.25082844754461486;0.25930744998903854;0.2726817025237909;0.26637582450347547;0.27494406789785464;0.2721947492484447;0.28655246958846126;0.2847092204864144;0.2696012819432169;0.27391201411987565;0.28138493165327244;0.29264472047733747;0.3055524734301329;0.31420271265704997;0.31989200232519055;0.3163761571999969;0.32172741743023653;0.3317024684095954;0.3341210643298456;0.3410371277975749;0.3380351627448849;0.34878770026313943;0.34549768516687657;0.3475547873216702;0.34567523065659966;0.3449054651243636;0.3406200804476165;0.34033123947165417;0.3400702694465605;0.3417043734267507;0.3465260102635906;0.34419630007854335;0.3463204808326575;0.3484326846105874;0.3509498834353975;0.34801714379851384;0.34728214162796933;0.34769497067185035;0.352248519092091;0.35156285603727355;0.354283136168954;0.3581582152527771;0.36123305907564407;0.3600750587304962;0.36030563435376417;0.35970083471991315;0.3595687866743108;0.3605799372391383;0.36008620711084377;0.3622200297074205;0.36236092866309605;0.35942114596160085;0.35966652331958693;0.35908688286841195;0.36100824595978553;0.3609406024087582;0.3605935337435485;0.36432680994896527;0.36126428207330646;0.3625853274810363;0.36298361843432897;0.3641696027206869;0.3656338068909194;0.3647218995092528;0.36622049040670573;0.36573225914169066;0.3650551456893695;0.36506071987954325;0.36701786324568075;0.36885749665680406;0.3642268888237562;0.3637945501142671;0.36504271675181993;0.3682326600690853;0.36725160259850664;0.36661203960296396;0.3672757072046634;0.36856677250848574;0.36776567098824586;0.366087990399738;0.36382031191209707;0.36433298675429293;0.3657507895576737;0.3662622968330088;0.36473745451291334;0.3644611178013948;0.36535916503452115;0.36505488204523967;0.3650807191699639;0.36467033825014566;0.36640598288377113;0.3678540670986362;0.36615288451912553
MFC;0.10025851436834143;0.16394160327720197;0.20600832166331426;0.21346722839438237;0.20925310295958613;0.24133535450455956;0.24149538649137192;0.27982845203759626;0.29473816785860174;0.2883323687724526;0.2956349721979732;0.30642438223095814;0.315854028832574;0.30197734603917253;0.29703624074806834;0.2921513669835141;0.2858572023546283;0.2963260587891759;0.3050354296280712;0.30940838181937197;0.3077219256476851;0.31207069790593495;0.30833297741375804;0.31274257613910644;0.3121607888714457;0.3187862788446451;0.3227087008814979;0.3229454909735406;0.32701807717406034;0.32505825970317737;0.3250044763006902;0.3215590241581636;0.32179057903105657;0.3201985451212993;0.31984081770055467;0.3204334143775388;0.31372111015872806;0.3121900157064107;0.3183793629619619;0.32181189654212644;0.3241277842420808;0.3283087658434115;0.33248805258962183;0.3320580866773013;0.3390501549813186;0.3367499352753661;0.3368878588187191;0.33443295533544537;0.33511880670749833;0.33441438725601524;0.3342796651056675;0.33090185651416815;0.3324059086114534;0.3317332017824452;0.32926756421674225;0.33125762543566256;0.3295687211399128;0.3309104437801115;0.3306098894720948;0.3305124541343957;0.3340019725100526;0.3345122745550798;0.3330493132786023;0.332894968472305;0.33217966428460427;0.336129091013042;0.33468899144896624;0.33887758106661525;0.33841447132082925;0.3363582730887665;0.3404618563062659;0.3380803212179816;0.3372668284236393;0.33862436971162824;0.3379644684546409;0.33798484437953275;0.33966022749776636;0.33645081217834005;0.33849006185919883;0.3381530869978173;0.33751032260926944;0.33944724070430343;0.3398489590312841;0.3399421007360115;0.33906397746641154;0.3374547690247675;0.33652787159114733;0.33735560116850094;0.3379105343983652;0.3398901251789861;0.34098368336611184;0.34231542519282365;0.34465078489493894;0.34383265949660097;0.344489321697136;0.3429157052130203;0.34352856482455496;0.34297189907612313;0.3415859218855587
RDKit;0.1602053893229099;0.2406431003464962;0.21396973410585585;0.22286120771157572;0.22294154384428247;0.22177326137807088;0.25428178781754707;0.27276143347381043;0.25457740821399105;0.2742124931009981;0.27622583033023834;0.2762815722319758;0.26499696319625876;0.258635945948735;0.272575300718144;0.2630612879949796;0.27503284064271616;0.2855396994954077;0.2881614143859755;0.2811613237677217;0.2842417041173153;0.28460854609226294;0.2927021572341953;0.29472163360531617;0.2916908560155794;0.2972196617355422;0.2943350936475248;0.29408696685789903;0.29641257172721025;0.3020920688990997;0.3024858779021852;0.3012746214428098;0.30712834972107583;0.31037407260352573;0.31400923552919513;0.3158934247982614;0.31459655932358255;0.32315663225809466;0.32380971643115336;0.3272009708732745;0.32486470724842836;0.3318102235318054;0.3304743010624632;0.32899830823328224;0.32684143560706813;0.3265075868117975;0.3262565976001906;0.3238438771776911;0.325354407387881;0.32698696716673936;0.3266886350021027;0.32456166715290174;0.32575755692585223;0.3278463717031207;0.32520458219523807;0.3273369359173773;0.33149226871121934;0.3309167712392275;0.32771187553345565;0.32313068214302904;0.3200843118861847;0.3223383562059682;0.32512070569850215;0.32676411255013094;0.32380670335538375;0.32525030562004165;0.32467872514655033;0.3233897689957667;0.32292055777154727;0.3254586598095088;0.3278612487647331;0.3279858017843585;0.32588640357844934;0.3219772767384298;0.32396010657550306;0.32326517831269413;0.32371826958154626;0.3232580222577413;0.3249099410484193;0.32546340540384594;0.32418198194248626;0.3242766678485456;0.32320936108406245;0.3250360759328237;0.32604684986318;0.3255899922496159;0.32781688122402586;0.3283151686294219;0.32830767360344504;0.32851681872530175;0.3294994203972123;0.3302688846218714;0.330836472769968;0.3300024533969454;0.32932590489633096;0.3287636649577254;0.32780400032511087;0.32837332099177496;0.33118113097456203
CDDD;0.08205738990352959;0.20640164104158715;0.18378775412186882;0.17602490337254323;0.1799437097184725;0.2008009358010725;0.2181145964613986;0.22382271785309915;0.2396240781212207;0.26907022733882663;0.2686213167126048;0.290852806653715;0.3034878762493624;0.30201949143649964;0.2866248587338257;0.2941302421586398;0.2952014282581763;0.30495396359195087;0.3214962015283676;0.3197656791235505;0.3259497158330578;0.3306609611063893;0.342671796729472;0.3345972809552294;0.33714317932674476;0.3430407101940112;0.3506925667646745;0.3514085865578705;0.35582368414649845;0.3495925304646441;0.3488275105267451;0.34910354593068676;0.3515812734629152;0.3496981011069212;0.3551740273471276;0.35004102679294763;0.3491778559118543;0.35013277495013173;0.3488965099618688;0.34976265625528463;0.34519720618575417;0.3429183039908716;0.34530948092161856;0.3428657634821393;0.34345026251799277;0.34567443972421014;0.345397613387879;0.3469521345043049;0.3464091782506248;0.34747723828405036;0.34950500061353756;0.3480468602582914;0.34869369229912817;0.3512537521267607;0.3495752429424161;0.3487045017084516;0.34838116101492744;0.3492966087606233;0.35025687600839167;0.35288352481053215;0.35316487076051767;0.3536567930433504;0.35398322213953837;0.3507762172807277;0.3496015696919529;0.35077425878147744;0.34893172528492583;0.3514634622003242;0.3505051911152531;0.35563197720065826;0.35841142660776404;0.3572192278526314;0.3584458886618787;0.35666455826689686;0.3566394367476679;0.3559311756245786;0.3571168962668066;0.3558493329539871;0.3547251167209058;0.35382492267129356;0.35282992972528054;0.3570409290939659;0.35877499186281225;0.35977002247227235;0.35923768731068;0.35321628136583627;0.353737731791211;0.3536149112901531;0.353830421534573;0.3528445431427631;0.3532210646236205;0.35661152813335206;0.3578799577054554;0.35954784579771215;0.3579582223485705;0.3596189167224274;0.36080456203776123;0.3601672211855986;0.36206572256457037
