;member_2;member_3;member_4;member_5;member_6;member_7;member_8;member_9;member_10;member_11;member_12;member_13;member_14;member_15;member_16;member_17;member_18;member_19;member_20;member_21;member_22;member_23;member_24;member_25;member_26;member_27;member_28;member_29;member_30;member_31;member_32;member_33;member_34;member_35;member_36;member_37;member_38;member_39;member_40;member_41;member_42;member_43;member_44;member_45;member_46;member_47;member_48;member_49;member_50;member_51;member_52;member_53;member_54;member_55;member_56;member_57;member_58;member_59;member_60;member_61;member_62;member_63;member_64;member_65;member_66;member_67;member_68;member_69;member_70;member_71;member_72;member_73;member_74;member_75;member_76;member_77;member_78;member_79;member_80;member_81;member_82;member_83;member_84;member_85;member_86;member_87;member_88;member_89;member_90;member_91;member_92;member_93;member_94;member_95;member_96;member_97;member_98;member_99;member_100
MACCS;0.27946675049490366;0.3087475436074029;0.308828104314611;0.31532528298759044;0.3040800539098687;0.3180123446620401;0.3324583906226465;0.326180828404084;0.3343563029068076;0.32785794182637623;0.3344505342120208;0.3381168090791832;0.34272949545908776;0.3384609763291468;0.3438867215185973;0.34145198254951425;0.34158132040835193;0.3444659909695945;0.33968675940545434;0.3472502676782782;0.34986856228348123;0.34925113914595285;0.3511006263420783;0.35535454726426674;0.35930950317978283;0.35916130613088687;0.3571951595420647;0.35607792354381124;0.35622289815212393;0.3540595487649908;0.3528688129470971;0.3522586270941571;0.3468199045752581;0.3519956548118125;0.35116866738258845;0.35336996408915733;0.358158281879204;0.35723166292637576;0.3578468849432872;0.3575073664903686;0.36130736351445353;0.3612537970431202;0.3625642562136093;0.3623003330471583;0.3618178826258594;0.36187845746523706;0.3636988546512892;0.3629492234050261;0.3660041499047663;0.3638950185206691;0.36302538217837155;0.3629284976532972;0.365499758713158;0.3647593017376262;0.36495395123602165;0.3655082638432217;0.3634116348242286;0.36220364222069823;0.3623428058705824;0.36357710626772616;0.3604751814405735;0.3590472352560356;0.3576367571647136;0.35675266386220417;0.3592021765385018;0.35959091204841476;0.3585599951962743;0.35876263916475043;0.35874893939003066;0.3570036268304629;0.359786160251618;0.36050900682660797;0.360646444790668;0.36140040780247557;0.3605804816115048;0.35948566188344994;0.3602637139580165;0.36023525787218424;0.360155489265241;0.3627942981751936;0.36262549864624044;0.3624355507515172;0.3617021550096675;0.3623124464841573;0.36230439918760693;0.36162261531925627;0.36138265796675845;0.36200525810708784;0.36222149618507077;0.3619837223441095;0.3630526568950769;0.36458335130915076;0.3643758648862783;0.36411551635346245;0.36377679032185983;0.3644531154113688;0.3649834797982393;0.36534856644895763;0.3658834563395775
MFC;0.23830819419023946;0.31354064131140286;0.32102485575617645;0.3279250689302871;0.35222866084185633;0.3665436915360404;0.3650063762056417;0.37320160537397384;0.3758595375252292;0.38290903949091776;0.3861384529398692;0.3976345879484959;0.3941288898640341;0.3950357338693971;0.3975342696840916;0.39538439134441966;0.40141003774305206;0.4060617095556448;0.4129286946158481;0.4139963260658793;0.41553096483384355;0.41625900742499544;0.40965226523465875;0.41162897702840284;0.4138562819800785;0.4131710467789156;0.41370924713581403;0.41261817815551743;0.41260967302620244;0.4123362762606873;0.4111858826827467;0.41190753322018986;0.40652019413529944;0.4039304614992342;0.4056750871555642;0.4070771128202762;0.4091551465893375;0.41071635728304956;0.41022538416594967;0.4108405885197306;0.41362245255528945;0.41618730372609186;0.4185098907786437;0.4164312583048273;0.4152828545397492;0.4150778333790579;0.4147691658598826;0.41496339272601895;0.41585431822848185;0.4156815566887119;0.41546093398646144;0.4174968647240692;0.41942860322532816;0.4180065561692475;0.4195407018862369;0.41898226883040907;0.41853621617890424;0.4165884006940748;0.41547401744625656;0.41622699432956156;0.4173908235465649;0.41805415319727707;0.4178378799089827;0.41523478206970826;0.41529306773851254;0.41671925290098866;0.4170610076623643;0.4172506738069839;0.4169094297055464;0.4195664461907057;0.4197798668269317;0.41887031104120737;0.41904073058884717;0.4198664148819688;0.4179722186906467;0.4186539144901694;0.419758383891602;0.4194058524446347;0.41911180036506895;0.41863583008477306;0.4187389305653921;0.4188230661924455;0.41909158527510304;0.4188518920655067;0.4192418249507037;0.4192620752585964;0.4192924507204354;0.41806343312098093;0.41774990552791136;0.41718587282172714;0.4167273354151823;0.4173582821822295;0.4195029658777029;0.4198372368296399;0.41963746314003736;0.4198988858104507;0.42014798220649463;0.42061060489254476;0.4199495820160361
RDKit;0.1844091118637573;0.3341655094642895;0.35610738720666546;0.34378903687070406;0.3321613276876648;0.34697067720199204;0.34520777344166836;0.3440565874603754;0.3541564021084268;0.37152884189721785;0.3743515587278298;0.37911298720920117;0.38195218602954145;0.3876829527273291;0.3934543609126091;0.39097524778452825;0.39404642708850224;0.3974403258644328;0.3976204831688245;0.40298341623046324;0.4025559762532563;0.4034369879093335;0.4047108555385296;0.40550810135578447;0.40551783911253636;0.40458665951977535;0.4035158936742616;0.40413738442797104;0.4043087900775604;0.4040263599138287;0.40375984825299704;0.40092357252057864;0.399919544646294;0.3997260573566198;0.3989490266293309;0.4051809268160916;0.40782630377645346;0.41117205964648945;0.41349989417013;0.41329471452876826;0.41473297944012644;0.4154910453138498;0.4137389886749713;0.4144297354816738;0.41620204242844505;0.415067408872734;0.41692631670143265;0.41838282449885766;0.4220197093605375;0.4222744054069378;0.4232577955761353;0.4242683035489457;0.4237301560189374;0.4224201900148021;0.4216966024913865;0.4225938143937779;0.42430005250992875;0.42415215482645835;0.42577844824884137;0.4268015290215086;0.42654246595218875;0.4267063525744128;0.4252550746391131;0.4238375530866223;0.4212848344915922;0.41986696075983376;0.41974917440375165;0.41994331322507106;0.4168915918256374;0.4166382692783811;0.4177175578621732;0.41867257999135754;0.4190295665060611;0.4196485567869699;0.41957942399672044;0.4186778450714096;0.4185698845168963;0.4185987456078843;0.41784575111561584;0.4165428639147613;0.4171618013687799;0.41664168541727786;0.4148657158061224;0.41461735898654073;0.4145363753639332;0.41342966962415073;0.4136835908761621;0.4135187005430252;0.41323769670532773;0.4137016576725951;0.4144947301655277;0.41449985437387277;0.4154914327110443;0.4157340842264893;0.41523478206970826;0.4151662303752505;0.4164120469257743;0.4166202024819482;0.41645760131405124
CDDD;0.16802916607823376;0.29232226304762554;0.30831611470197;0.29393291971052266;0.30283164457504813;0.32700857521298915;0.3409566703281571;0.35346699358294154;0.35929763832104866;0.34775596653310853;0.3552214802587672;0.37668171763463726;0.3801918003509819;0.37685675073068386;0.37752730005638385;0.38102743370841596;0.38116599864129236;0.39309626503321227;0.39899854303436944;0.4032025773887527;0.40266997668221066;0.39645978834730367;0.3981674351805253;0.40411998677214667;0.4013026230664037;0.4061390129049049;0.4060271783784468;0.4084706861825634;0.4107922343062755;0.41383242183469193;0.41384142001498164;0.41591027951411935;0.4110024677201287;0.4113462299033303;0.41210191856699663;0.41655455626644894;0.421767795530352;0.423714360778781;0.42373096603125304;0.42614858865919364;0.4299858811331579;0.43140313855119783;0.43405874631928637;0.4357945146670338;0.4409192160630372;0.4406355532718686;0.4420840665999169;0.44112587485732335;0.44150779566418014;0.4403211804485566;0.4426202947529163;0.443797542000019;0.4444754518724139;0.4442748681704956;0.44301822210749;0.44225510246127525;0.44306389975851057;0.4408513863360783;0.44341836819145025;0.444417641645621;0.44220562127416346;0.44316710589291003;0.44286312235799513;0.44228253722622896;0.4390167964858143;0.43916221130544747;0.4400867699279758;0.4389956305118256;0.4375223061543679;0.43545531320534897;0.4371802168226879;0.4381525485628796;0.43853630070192845;0.43896043019401904;0.43709787730989974;0.4360989736439601;0.4372447712824572;0.4381690129436446;0.4388616086915025;0.439004980871383;0.43821366927478894;0.43892973777083905;0.4375849940640184;0.43741115837748185;0.43646832165096;0.43700095757542884;0.4378614723981259;0.43770809832704277;0.43741075337132407;0.43914895175601854;0.43901218293740746;0.44051662233316646;0.44160749761486584;0.44108304985837105;0.4410085991611794;0.4420184732113079;0.4417312534095355;0.44201780407069924;0.44152311546232503
