;member_2;member_3;member_4;member_5;member_6;member_7;member_8;member_9;member_10;member_11;member_12;member_13;member_14;member_15;member_16;member_17;member_18;member_19;member_20;member_21;member_22;member_23;member_24;member_25;member_26;member_27;member_28;member_29;member_30;member_31;member_32;member_33;member_34;member_35;member_36;member_37;member_38;member_39;member_40;member_41;member_42;member_43;member_44;member_45;member_46;member_47;member_48;member_49;member_50;member_51;member_52;member_53;member_54;member_55;member_56;member_57;member_58;member_59;member_60;member_61;member_62;member_63;member_64;member_65;member_66;member_67;member_68;member_69;member_70;member_71;member_72;member_73;member_74;member_75;member_76;member_77;member_78;member_79;member_80;member_81;member_82;member_83;member_84;member_85;member_86;member_87;member_88;member_89;member_90;member_91;member_92;member_93;member_94;member_95;member_96;member_97;member_98;member_99;member_100
MACCS;0.33728809762273454;0.4199732088304633;0.45523740478995783;0.49514153736502886;0.48729529753761164;0.49886049724818776;0.499688208921856;0.48922421865414134;0.49112713135909736;0.49320920323372147;0.49608073171729267;0.49626720978197997;0.4970073407286975;0.5112595664569506;0.5116363357921335;0.514134662133052;0.509443803955709;0.5140342272123282;0.5154963456265144;0.5091178363624231;0.5074915655885237;0.5005216404042367;0.5004526951830908;0.4942833587085779;0.4948665331839623;0.4936856694497944;0.49770398882853706;0.49610004375961186;0.49501161951463435;0.4923345030239645;0.49460551309605566;0.49654471275950945;0.4959652899866138;0.49029929667879;0.49351684283780006;0.49931998854808196;0.4953159994427799;0.4906886126911485;0.49173865886476564;0.493278209958187;0.49308945627067857;0.4928750556989437;0.4901555634211468;0.4913455911499184;0.4903377977567894;0.49200767438420573;0.49143354089678604;0.48968457100050844;0.4894455075976588;0.49206893169041566;0.4926366688326086;0.4936511045842422;0.49115579190597863;0.49125253662753315;0.49094784918279;0.48964490135943867;0.48903208228406103;0.4882806347265578;0.48810731837224086;0.48562295328484617;0.48594842885157624;0.48696741584885195;0.485893567890593;0.48508873545177417;0.4839737417727778;0.48307394820866967;0.48259717447599937;0.48473613692115003;0.4854453316981651;0.4856932515790209;0.4855038213549981;0.48500010916839215;0.48443815333823104;0.4844197023423847;0.4848381094248609;0.4855056664545827;0.48783350559388067;0.4878343666403535;0.4869057280194056;0.4880666031747399;0.4875528659470574;0.48624167667889456;0.48511505887251505;0.4865187491331876;0.484486925470585;0.4857416546914578;0.4844792990589684;0.48511358279284733;0.48481104796428626;0.4853639013031631;0.48583354065077283;0.485319003879937;0.48529255745255706;0.48590519201797616;0.48404078039101966;0.48410677345283026;0.48419970496857645;0.4855038213549981;0.4857564769914544
MFC;0.31851870143407424;0.43364308932130946;0.474701619665617;0.5123704244181223;0.5275043767299731;0.5286122360239088;0.5353442048650972;0.5293102371967772;0.535029553882597;0.5527832865959358;0.5535660393430585;0.5547179350137476;0.550920843075203;0.5501936893288973;0.5488956002677855;0.5495555308858908;0.5412185714193459;0.5359437392234653;0.5391853946837145;0.544072694463502;0.5396792663392025;0.5399546167005499;0.5347734540602493;0.5344569579781645;0.5390901260418278;0.5434694699059646;0.542645140914868;0.5385036918905106;0.5354663504576;0.5330281743631409;0.5362842831034698;0.5408052691123871;0.5410729930621181;0.5474540854656278;0.5482554737185553;0.5495862210423152;0.5497466832028591;0.5479944536306486;0.5469172844931374;0.5483378881666692;0.5507138229018066;0.5487054320039289;0.5498233778422607;0.5511163006245355;0.5506144950408336;0.5501083227214482;0.5479076724468511;0.5486409765251056;0.5488258555034862;0.5511684554394612;0.5536833876766414;0.551467546082131;0.5520043470546214;0.5515093068360633;0.5510431731776644;0.5482558427384723;0.5494766836303072;0.5487957803802566;0.5480925514252318;0.5478334994435488;0.5471392499731692;0.548870691423393;0.547687429059765;0.5464833785741502;0.5441573845344367;0.5457300859170622;0.5453498723959879;0.5431116435931838;0.544441160850554;0.5455825394536107;0.5457449082170588;0.545352394032087;0.546544758886999;0.5447248756633517;0.5452183167956033;0.5446948005401222;0.5438161026145983;0.5431890147690996;0.5423943918813159;0.5426793367605033;0.5430440514450666;0.5427911497953323;0.5419657137444851;0.5409988815621352;0.5414180266844453;0.5411461205089892;0.541999356060245;0.542124023288847;0.5423029364452372;0.5431288645226405;0.5420208207187462;0.5415655116445772;0.5407310346057653;0.5411937855815923;0.540800471853467;0.5407036041252737;0.5404468277664116;0.5399779879619553;0.5401335913602597
RDKit;0.31698492729650707;0.3993451800459687;0.4130139262451149;0.46052730672127656;0.4582571742853391;0.4708270997156394;0.46296636045188955;0.4466551880971396;0.4464588079980147;0.45735516660172937;0.459280466514979;0.45422870685888095;0.45608598410077683;0.45673170745208047;0.45318228938111366;0.463164954670516;0.4673981051442299;0.4649489199555823;0.45724888886565435;0.4670025772966032;0.46494553727301047;0.4749707628594984;0.47953953694765794;0.46896422567167007;0.4760640458667156;0.47190679048924966;0.47072838688786134;0.4722327580825357;0.4759099800513983;0.4707498515463626;0.4748138678914848;0.48068854196233113;0.47917285415687094;0.47599387057917986;0.47423979590738463;0.4720254918958614;0.47366861457930043;0.47287386868487763;0.47034725081699474;0.4658700551715527;0.4721153482456332;0.4689216038712649;0.4721691021468656;0.47315352427858914;0.4753466096448891;0.47558511951786325;0.4763860772475543;0.4754878212664333;0.47835442948444534;0.48203491112924096;0.4797672837397216;0.4791148565265939;0.4816745631803613;0.48570112400391535;0.48377434801099806;0.4826722085257747;0.48511112266006784;0.4820634486694833;0.4803938795586646;0.47947071473315095;0.47930748492323;0.4815581988998901;0.4829216044862982;0.4808997443614526;0.48020082063879194;0.480223023337127;0.4824733067905508;0.4868246666443205;0.48836637035392394;0.49008544963693057;0.493815072433997;0.4942305273571378;0.49528174209382514;0.495335926518294;0.4949421822669324;0.49622059026580817;0.49779759688079767;0.4962704694579129;0.49741535375018026;0.4973655360613951;0.4982630540026822;0.4982685893014361;0.49641475624543147;0.4934938405963116;0.4941449762397301;0.49382675806469967;0.4933932826689489;0.4935736104016874;0.494481768417246;0.4951287218349392;0.4964447083620221;0.4951932388170821;0.494631529000199;0.4963258839487714;0.49635417547573596;0.49535320895107016;0.4962346130226513;0.4964896672885677;0.49926389752070893
CDDD;0.23053436851620474;0.239945114437689;0.2799880806566833;0.3467759498649541;0.348145013756755;0.38351815593367117;0.3885755738951621;0.38327134311256617;0.38151357824160165;0.39852724151154245;0.4171515537122327;0.42796131564210854;0.4375911363876087;0.43965377321327476;0.4421265756766057;0.4585691806251013;0.4568646161254939;0.4610119079652027;0.4591870429726769;0.4582817141098148;0.45687248855038826;0.4583734770624908;0.4543055245049214;0.45454680202727243;0.45820501947041337;0.4506870997094891;0.456523026689058;0.4625705865909848;0.46170492736919244;0.45880941259102104;0.4651122727721422;0.4653419876704295;0.464126128547473;0.4666454275203369;0.46581334911098493;0.4606225304495247;0.46254032695779673;0.4613656135555777;0.4628118026100164;0.4596526846045198;0.4612001081228357;0.46139359756594467;0.4647805853701439;0.46839495094649;0.467603464728;0.47246825429285483;0.4680023137548791;0.4684158620751159;0.46877694806382936;0.4706408061609105;0.47137829246489005;0.4715230097756451;0.46882922588539416;0.4696207121038841;0.4706930839824752;0.4724029377675586;0.47598544462441006;0.4778665851542672;0.47824858227160666;0.47575892789873603;0.4750513322080276;0.47604725546049537;0.4704663827468428;0.47323790683292655;0.47133259549851053;0.4732121984453806;0.4727143290741259;0.47533812218679977;0.47741029202698637;0.47743292524855796;0.47789426164803683;0.47906319373822404;0.4815796635583914;0.48240620666898953;0.48147449288206706;0.4837479015836182;0.48181159257618034;0.48342783830900316;0.483525013553794;0.48302769771241477;0.48236032519265143;0.48439737663741056;0.48510054408911585;0.48399711303418325;0.48366690171185267;0.4816675518019396;0.4833611072073587;0.4839556597968484;0.48584799393085243;0.4853787851064792;0.4843840919204012;0.4856198781188718;0.4842593016851602;0.4829565383717673;0.4836492502591596;0.48285591894108504;0.4845765358070789;0.48502218886008824;0.4858190873706931
