;member_1;member_2;member_3;member_4;member_5;member_6;member_7;member_8;member_9;member_10;member_11;member_12;member_13;member_14;member_15;member_16;member_17;member_18;member_19;member_20;member_21;member_22;member_23;member_24;member_25;member_26;member_27;member_28;member_29;member_30;member_31;member_32;member_33;member_34;member_35;member_36;member_37;member_38;member_39;member_40;member_41;member_42;member_43;member_44;member_45;member_46;member_47;member_48;member_49;member_50;member_51;member_52;member_53;member_54;member_55;member_56;member_57;member_58;member_59;member_60;member_61;member_62;member_63;member_64;member_65;member_66;member_67;member_68;member_69;member_70;member_71;member_72;member_73;member_74;member_75;member_76;member_77;member_78;member_79;member_80;member_81;member_82;member_83;member_84;member_85;member_86;member_87;member_88;member_89;member_90;member_91;member_92;member_93;member_94;member_95;member_96;member_97;member_98;member_99;member_100
MACCS;0.08299112771024564;0.15214295196809446;0.3007086311446896;0.19166605542424042;0.2073131034997473;0.24183546539056322;0.20909968022904102;0.25469078650113286;0.2559477928329358;0.22870099702523206;0.2068853494780566;0.22421117727901674;0.23237901079203271;0.21903156604963192;0.21024227109873694;0.22441098549758665;0.20892179156636215;0.20107931897865017;0.19238401816350859;0.19574649525570298;0.19540732356029855;0.19042651115412557;0.19390934683085737;0.21226435857346793;0.21724669876146796;0.21749051401790076;0.2240551019355448;0.22611067310833444;0.22518070992575823;0.22009934243188312;0.2008384585732964;0.20454454525515675;0.22064820305476807;0.22368575618693431;0.23196933877162085;0.22953612563597547;0.24271457248408868;0.239819614188994;0.24114588227653144;0.2400264400583384;0.23462112993416573;0.23693969952363736;0.2464734589073535;0.2443763363526239;0.2504261896972183;0.24919593605219614;0.24846849197933085;0.24948073615388244;0.24626929191759706;0.2420524100597865;0.2441265423261354;0.24252312487619387;0.23858129165528608;0.2330150515725239;0.2298962773381833;0.2313112428761701;0.230991505559192;0.23259502186040393;0.2293774824674294;0.2316971948731762;0.2272751528481538;0.22920025546400202;0.23192694458263852;0.23193935388798836;0.2344251755330562;0.23687797496982188;0.2364796382547789;0.23716437308815275;0.236578696958201;0.23455832110825747;0.23188464984081236;0.23673298379299668;0.23574031839032772;0.23844027788708155;0.23466059039756793;0.23644516220959644;0.23641965476643556;0.2405350164622132;0.24172650308424304;0.24692754582150922;0.24665097627408406;0.2461476021439064;0.2421306181520404;0.23621804804912794;0.23529278558079347;0.23587969706531609;0.23585316677294843;0.23201050405625534;0.23442246270090028;0.23232536316201025;0.23376607269481964;0.23578868670808562;0.23468385564303063;0.23434913313559425;0.23166929579841133;0.2305302584369251;0.22929414763123224;0.23028670326010292;0.2331142635221498;0.23242860538706855
MFC;0.5709746836257288;0.5320253949440825;0.5776513497302248;0.5563558896924121;0.5817017343757592;0.6015258366512664;0.618037056431163;0.6379804114866634;0.6450336129613954;0.6408728603671421;0.6311801925372567;0.640894309511072;0.6370150036199739;0.6373269481580497;0.6385918972493188;0.6420748981859323;0.6443644864426894;0.6480496226627344;0.6473592577802811;0.6509929685205103;0.6483489819558809;0.6480992497587159;0.6508669754516578;0.6526707711356543;0.6525707265055941;0.6544114465845614;0.6509157627449251;0.653524155609293;0.6563372319838326;0.6563113936708133;0.654848338500451;0.6529478944417304;0.6517169972738827;0.6538641548326622;0.6527196909400793;0.6543132215874933;0.6567012383293613;0.6562216607914673;0.656557137094933;0.6579824603025312;0.6576857705819825;0.6576541692152192;0.6575634907148573;0.6597692932537966;0.6601364404108109;0.6610533142256938;0.6603295758205786;0.6615084038512146;0.6624658364417273;0.662031902414399;0.6616027296888962;0.6619339659746059;0.6617671461196775;0.6612874918700358;0.6605622229298096;0.660265277103254;0.6599460330704425;0.6617290668794619;0.6610502932531012;0.6618042006055962;0.6624930093704005;0.6639537187990929;0.6638015443628793;0.6638398618163217;0.6638158838568128;0.6639107863655256;0.6640287612188164;0.6646241009849201;0.6651027120611612;0.6650243425359945;0.6654526048520959;0.6662651880800109;0.6664716551738399;0.6660900210773403;0.6652804645890535;0.6645678565351798;0.6638632879511138;0.6648032038480461;0.6646566567110019;0.6645254640690783;0.6648318295316475;0.6658617364785235;0.6654988951706984;0.6660282409959786;0.6652783002296572;0.6659483475377143;0.6666068374617994;0.6669426560156897;0.6679829832449942;0.668498995636912;0.6681712599034311;0.66852008849537;0.6684193471156277;0.6685139831026494;0.6684939190465674;0.6682845725620794;0.668529890574294;0.6693255965610243;0.6696900269112929;0.6699381831217429
RDKit;0.6031319435025155;0.5822943052216611;0.6058559634303047;0.6209166627537683;0.6438219078343055;0.6417469564154314;0.6607247263503375;0.668475911478094;0.6773382101203257;0.6760775773850406;0.6829845706514202;0.6868536726391518;0.6840591551371888;0.676918752700057;0.6770168651859562;0.6771165037845303;0.6767550777090745;0.677706007120743;0.6790317604052202;0.6835105107203416;0.6826947048047058;0.6812747877688402;0.683614015159036;0.6860083629339203;0.68626334882661;0.6864069449732616;0.6864284857247318;0.685664285081764;0.6879121641009021;0.6866107932272706;0.6863705544105109;0.6855896151925192;0.6853209901840656;0.6857759317100383;0.6849759188478164;0.6845858261137789;0.6856223915608621;0.6849695506566904;0.6851769945268223;0.6848881489688083;0.6843432882845334;0.6843490194315447;0.6857778408716213;0.6864424259216496;0.687451831670423;0.6885887151959498;0.688704890253271;0.6892113301088563;0.6884372148843726;0.6881687590121534;0.6871754582167044;0.6869699364944368;0.6878992777092592;0.6862351008400018;0.6867985089990605;0.6862139663186082;0.6870947753070437;0.6876536466495982;0.6875026279194486;0.6881864317601704;0.6879349855795948;0.688843175552075;0.6889644327386311;0.6892839161308159;0.6893550339509658;0.6894370387888693;0.6900833723522092;0.6901281280462742;0.6912973155410627;0.6907115948259029;0.6907100609889396;0.6910717876867031;0.6906738039873928;0.6898682707934174;0.6898260440954007;0.6899977379020292;0.6900064123119822;0.690044921446219;0.6899351754942449;0.690459280777832;0.6915806882885795;0.6925089257074326;0.6915202451678439;0.6920217856107024;0.6921904177342337;0.6922485154135007;0.6927545639103141;0.6926973028762539;0.6932235717636953;0.693865919559989;0.6935799665224567;0.6943918464714862;0.694213121564877;0.6938762752803034;0.6933411780466184;0.6941071621691581;0.6940423527925936;0.6941228887527242;0.6942654672578092;0.6939981407885061
CDDD;0.6774096239705295;0.6655440931880525;0.6666362693633127;0.6523088500432642;0.6535340778387337;0.6692551679900656;0.6731777996452477;0.6813536605763595;0.6929331449739106;0.6919128533880654;0.6985006498270465;0.7051200806980245;0.703301759645429;0.7039403938889928;0.7024720799959586;0.7028412441363441;0.7019146593521854;0.7030121762353795;0.7044334561903776;0.7029827725519551;0.7022735522488202;0.7017431784505275;0.7010429953423899;0.7015941396960066;0.7014946723463034;0.7017057551743735;0.7036394179889296;0.704196418531026;0.7060453198776204;0.7052127156278634;0.7065611755833574;0.7047139974533446;0.7048329173782466;0.7053371607779532;0.7054024728231909;0.7063691482235883;0.7068158177043309;0.7046969675373185;0.705060107479019;0.7061459327568239;0.7061366477938991;0.7055867124348605;0.7073836265283073;0.7093184822776286;0.7088098328464456;0.709227441835909;0.7095835603789782;0.7105496640098442;0.7096539469725085;0.709048786690153;0.7073939820019802;0.7072749568297128;0.7082438549832475;0.7075461816700119;0.7083757486481439;0.7091185703010182;0.7094326006229776;0.710538590704549;0.7081014975536994;0.7090985453940608;0.7091163411509147;0.709760429486105;0.7098829419132788;0.7099480608851831;0.7098786201956211;0.7098813754605298;0.7103214820412325;0.710911474305902;0.7119424787691488;0.7111336878892416;0.7116761758196232;0.7104596341118512;0.7100230883681874;0.7105070212804947;0.7103703633283677;0.7107165170705465;0.7107242262933495;0.7108806905601199;0.7105326072810624;0.711158190303991;0.7117452276266072;0.712976927136183;0.712145217043824;0.7119790906000016;0.7119713554568767;0.7122260617218459;0.7119750384639849;0.712136129755436;0.7129205998110366;0.7135766092919504;0.7133601890931482;0.71421609027611;0.7143434647315018;0.7144071509594703;0.7143307073192602;0.7148541642848338;0.7151303792601789;0.7155435227661535;0.7159380706534442;0.7164042618677148
