;member_1;member_2;member_3;member_4;member_5;member_6;member_7;member_8;member_9;member_10;member_11;member_12;member_13;member_14;member_15;member_16;member_17;member_18;member_19;member_20;member_21;member_22;member_23;member_24;member_25;member_26;member_27;member_28;member_29;member_30;member_31;member_32;member_33;member_34;member_35;member_36;member_37;member_38;member_39;member_40;member_41;member_42;member_43;member_44;member_45;member_46;member_47;member_48;member_49;member_50;member_51;member_52;member_53;member_54;member_55;member_56;member_57;member_58;member_59;member_60;member_61;member_62;member_63;member_64;member_65;member_66;member_67;member_68;member_69;member_70;member_71;member_72;member_73;member_74;member_75;member_76;member_77;member_78;member_79;member_80;member_81;member_82;member_83;member_84;member_85;member_86;member_87;member_88;member_89;member_90;member_91;member_92;member_93;member_94;member_95;member_96;member_97;member_98;member_99;member_100
MACCS;0.5397483684618459;0.569928582033355;0.5786247275419067;0.5856424727911342;0.5873563627367714;0.586636117808534;0.584624110416573;0.5873513348581652;0.5877848241252704;0.5878308670299432;0.5888696685682844;0.5897731617222011;0.5902098443069786;0.59147869630786;0.5924201736302214;0.5923146873223806;0.592234770578719;0.5928598407065752;0.5932063412691647;0.5938427857835699;0.5948164421176874;0.595482289279565;0.595603214490505;0.5965245308815166;0.5967402765925252;0.5971907546216912;0.5975636594398552;0.5971510143363499;0.5975006276337779;0.596790662763395;0.5972682013673096;0.5978159552870275;0.5975915553915604;0.597361671944512;0.5970353904589629;0.5971828553267;0.5971553329150505;0.5968251700573433;0.5964436536346744;0.5965632422001095;0.5960255358749533;0.5961044477290307;0.5958456789314746;0.5960842577938757;0.5965685909011607;0.5966421409632405;0.596370929192968;0.596257296008993;0.596575948883109;0.5965804014923386;0.5969921411369734;0.5969561889508219;0.5973397229314209;0.597343098963587;0.5974815173831454;0.5972074137485894;0.5972337219560278;0.5970448013931449;0.5970842924613423;0.5970150077185494;0.5973524132631842;0.5974533527259921;0.5976085735468166;0.5979378199102123;0.5979140280615323;0.598264126633721;0.598396583015063;0.5986089870259239;0.5986790238820635;0.5984037897908214;0.5982158768954744;0.5984615127369539;0.5988649886218685;0.5986587185617047;0.5986949589036512;0.5990018399117968;0.5989392432855316;0.5989861412307633;0.5991412147193678;0.5992405822451256;0.5991366202749101;0.5990360802697676;0.5989881885926938;0.5990542325011932;0.5990499788185638;0.5992213188989046;0.5992552241784378;0.5991176850577475;0.5991706781187169;0.5991023195649141;0.5989917375691038;0.5990124073211291;0.5991982118783298;0.5991693476704252;0.5992414841458847;0.5992439005256093;0.5993138011432633;0.599371513082641;0.599339841734708;0.5992155728798603
MFC;0.6076687682491508;0.6550752120722129;0.6684247479186896;0.6793766988675052;0.6857690036933375;0.6890608796105975;0.6931167787755343;0.6969214661772545;0.6983367734324242;0.699064736553489;0.7002604302879761;0.7007041120248042;0.7019674759977625;0.7020081896338624;0.7024344837065473;0.7028369372834636;0.7027292634222644;0.7031078208492327;0.7030418251742214;0.7023847070339464;0.7028765836278317;0.7037296096457692;0.7042645129463461;0.7046089539941958;0.7045302452380353;0.7050467865732712;0.7054967234711638;0.7056675581400509;0.7054673198506469;0.7052567875415261;0.7054420583538717;0.7056929856194968;0.7060822236999027;0.7057104616682837;0.7058625630975377;0.7060555502699446;0.7060221450236492;0.7062883697817082;0.7060611164224133;0.7061533242085689;0.7061590561709998;0.7061774698655161;0.7061569507531658;0.7062191613256541;0.7064061945675757;0.7065479675351058;0.7064230757016761;0.7067749492420639;0.7068407409425308;0.7071284481985834;0.7070496718691126;0.7070364573208123;0.707257818844987;0.7071714987333102;0.7070741602784157;0.7070137967577519;0.7068798078170893;0.7070091346732128;0.7069697501316055;0.7070724833827857;0.7069781935969095;0.7070374862520766;0.7071896162462679;0.7070843964934059;0.707211307598935;0.7075826382002237;0.7077916746962626;0.7077756048691732;0.7076555341381768;0.7076813819266364;0.7076366021637119;0.7075667354538611;0.7075010137388265;0.7077384057339544;0.7076632501161029;0.7079623575723791;0.7080169862877491;0.7078825989172421;0.7076728896529845;0.707719023195104;0.7078265939637083;0.7078809400297221;0.7078846728782637;0.707917985846846;0.7079002522823487;0.7078544481113799;0.7079433527407766;0.7080496341328942;0.7081752591563568;0.708170178762493;0.7080503843374253;0.7081033681750128;0.7080908609824464;0.7081364913150141;0.7082614462639318;0.7083375203580934;0.7083991399311225;0.7083882636908203;0.7082293126561181;0.708455801690935
RDKit;0.5660187167932901;0.6034688808209276;0.6108286375802596;0.6200059803659927;0.6286027079260788;0.6282296355165073;0.6328764951109198;0.6369033577727812;0.6368997421116879;0.6368701176268377;0.636505933146244;0.6378429068986066;0.6398963939672895;0.6410870155814825;0.6413335920114411;0.6423133238267731;0.6418349353592394;0.6426692299711849;0.6424685430111949;0.6428098988092017;0.6433766155895086;0.6436808261273029;0.6443306198627254;0.6435986663662143;0.6446847646475389;0.6454162044608327;0.6458172584808706;0.6462225108302024;0.6458899373784255;0.645718636243681;0.6460363036777093;0.6470913151163598;0.6472449778695577;0.6474125304409635;0.6466478438970253;0.6467406061311922;0.6471263588025629;0.6469893241754063;0.6472589103923838;0.6472697880704112;0.6471466227999725;0.6470170671202631;0.6473863761075868;0.6476296340799695;0.6478155163943091;0.6478456801640343;0.6476223145069203;0.6475050768024349;0.6473151727347591;0.6480589270484278;0.6478613105880155;0.6482686544579108;0.6482778503611921;0.648315763187967;0.6481346896207357;0.6480507950987724;0.648233780411449;0.6482285425596519;0.6483031588950192;0.6482680783409356;0.6481501533463272;0.6483984508847469;0.648274845455066;0.6481452483971379;0.6480767900818409;0.6480925989727333;0.6482569844926035;0.648236467846708;0.6484205028912156;0.648285820854791;0.6483269449393808;0.6484215519610398;0.6486825561052548;0.648646648514268;0.6488006051807694;0.648917672498502;0.6487442077163772;0.6488822781629444;0.6487531579715915;0.6486190624472542;0.6485466581475743;0.6486725596084864;0.6484285375147902;0.6486077422397996;0.6487680447589645;0.6488555482548944;0.648717697571779;0.6487870300537573;0.6487270509603991;0.6487938527733376;0.6487556846397776;0.6487354061255465;0.6487612878885356;0.6487259354310981;0.6488527962265795;0.6487606934186195;0.648767414712163;0.6487023165502862;0.648684585322644;0.6487315211497828
CDDD;0.6386065043849494;0.6675554453330389;0.6735898089299744;0.6784077212600983;0.6835292112206082;0.6824266265731838;0.6870620826285896;0.6896195104245543;0.6906743994776534;0.6907052864690195;0.6925241701818308;0.6935317553577178;0.6937086570439535;0.6937272387127051;0.6930617931458725;0.6928261082515159;0.6929894562809747;0.6927786906437866;0.6921115037722829;0.6911645540582808;0.6918372144924962;0.6928941664570256;0.6938886535920414;0.6938682192868981;0.694390079818792;0.6946546188044402;0.6953758629392848;0.6955115745226481;0.6959875196708568;0.6965830133236737;0.6970517062737138;0.6976880786863164;0.6977838736805596;0.6977322718458068;0.6978373556767616;0.6981298090564572;0.6982645583527134;0.6986685460178296;0.6987469635162269;0.6991508946757803;0.6993173602976277;0.6991102042721031;0.6993482246318588;0.6993056675718738;0.6988470551445913;0.6990688998719827;0.698634349675504;0.6990304628774988;0.6990817605911879;0.6994744216408202;0.6993807163466319;0.6995568284687963;0.6996526998547083;0.6998446559142872;0.6998383841170124;0.6997103405776482;0.699589483698432;0.6996929070688525;0.6999506694714762;0.6997731543792949;0.6994955230050512;0.6995096534434819;0.699624395818619;0.6996340589518708;0.6997162911863237;0.6998355106034276;0.6999146497419577;0.6999880289848597;0.6999448556369836;0.6998783048395736;0.6999039400640485;0.7000995275234279;0.6999094158315832;0.6999442151098241;0.6999381965815895;0.6999974557024811;0.7002488087408494;0.700510357192554;0.7003076652529183;0.7003769310025366;0.7001835080257793;0.7002013711167407;0.7001415974965538;0.7002998503997454;0.700247290386364;0.7002474990713758;0.6999629096226045;0.6998862273165852;0.6998351005997332;0.6996436861479272;0.699686692582959;0.6996359585928363;0.6997033797107004;0.6997874153845045;0.6998849746144993;0.6999409078041663;0.6999430534277888;0.6999285678314939;0.6999233648457367;0.6999551257684048
