;member_2;member_3;member_4;member_5;member_6;member_7;member_8;member_9;member_10;member_11;member_12;member_13;member_14;member_15;member_16;member_17;member_18;member_19;member_20;member_21;member_22;member_23;member_24;member_25;member_26;member_27;member_28;member_29;member_30;member_31;member_32;member_33;member_34;member_35;member_36;member_37;member_38;member_39;member_40;member_41;member_42;member_43;member_44;member_45;member_46;member_47;member_48;member_49;member_50;member_51;member_52;member_53;member_54;member_55;member_56;member_57;member_58;member_59;member_60;member_61;member_62;member_63;member_64;member_65;member_66;member_67;member_68;member_69;member_70;member_71;member_72;member_73;member_74;member_75;member_76;member_77;member_78;member_79;member_80;member_81;member_82;member_83;member_84;member_85;member_86;member_87;member_88;member_89;member_90;member_91;member_92;member_93;member_94;member_95;member_96;member_97;member_98;member_99;member_100
MACCS;0.40441011690701517;0.4780692421509986;0.4898474866676611;0.5173450600889004;0.5386259024999593;0.5421904223955487;0.5611522590688299;0.5675339432358485;0.5783047952589635;0.5739912702076454;0.5811257298882632;0.5830728840810543;0.5789640187678988;0.5633292872680434;0.567496121833459;0.5673936152288525;0.5673140842425198;0.5743686594657544;0.5718308551477992;0.5694301975973866;0.568307455717736;0.5609216781203069;0.5641394429154858;0.560062507820547;0.5616771635786257;0.5693300474664491;0.5722412350372759;0.5726481980399323;0.5716109961544706;0.5712951108591257;0.5713621525350119;0.5695777128490733;0.5670804398782269;0.5666335346468789;0.5699408454414843;0.575775709893584;0.5742220868035354;0.5719854398204932;0.5717292911326602;0.5740510068151575;0.5761988147408739;0.5728486161254908;0.5723238294393784;0.568053899150939;0.5674722036257175;0.5658699193544016;0.5679021422466479;0.5664179173061548;0.5647015797092536;0.5650482169859807;0.5666949207859594;0.5655377743907397;0.5654820437884649;0.5661686023919622;0.5663266039514765;0.5666031361365473;0.5681915172132154;0.5659258856040431;0.5661080410186659;0.5670847993545148;0.5694000347344219;0.5677401346818961;0.5687680284963648;0.569091454507451;0.562872956142019;0.5629002912365807;0.5592270200811617;0.5619389678032647;0.5632950005761578;0.5637751320862404;0.5650607062964269;0.5661990009022938;0.5671281584700265;0.5686623406523049;0.569556975880785;0.5683444523543411;0.5684508471405016;0.5677830225026741;0.5695013631021939;0.56935325873209;0.5688140975565961;0.5685436922030649;0.5684651038061999;0.5693941435502492;0.5690616451155367;0.5698759245919;0.5712502200357289;0.5716620138094071;0.5701809701083672;0.5703837446675947;0.5718003388137841;0.5718522990581881;0.5717394239694374;0.5721906886770733;0.5735573255814775;0.5722545491135064;0.571912506960434;0.5733904872457042;0.5722775247317803
MFC;0.31551521115535786;0.4177121751218121;0.43311161272580617;0.43797961603146746;0.4942919138312987;0.48432261632673357;0.49375310612685513;0.49630764140786104;0.4982160316087953;0.5046142110914975;0.5101138671641655;0.5021770281992135;0.49746349174256277;0.5097661694742872;0.5107198343681787;0.5047433458485651;0.5093420042138462;0.5095564433177359;0.5150300603563601;0.516900393507538;0.524638228271133;0.5274147433717699;0.5283674656761936;0.5278690714951754;0.5283826649313595;0.5287819693945912;0.5288607934388232;0.5300503413469934;0.5305241103781693;0.5318817926826309;0.5284865854201676;0.5289341975936163;0.5268359934386347;0.5279242129790329;0.5281028336831519;0.5294965700347509;0.5264157163597478;0.5237992058212441;0.5234824957601147;0.5232539178142105;0.5250884325656178;0.5250271642502208;0.5246505997578959;0.5236468597985356;0.5223857929145079;0.5206626215439663;0.519035947770175;0.5201030768712346;0.5196353168479149;0.517929936853575;0.5173103021022808;0.5113483058957321;0.5091295681125754;0.5087453450808259;0.5090297714526882;0.5108883222355205;0.5114398548977773;0.5115200928262108;0.5104579123198564;0.5115884305626153;0.5119892667337319;0.5128405428467003;0.5099458505915574;0.5116314362070766;0.5101430874376625;0.5110239372951784;0.5118609567424486;0.5113177895617171;0.5141232892884839;0.5123708976444454;0.5122675662740546;0.5126598013162791;0.5132065032075142;0.5138247240746069;0.515338404935964;0.5150515042667491;0.5138665514822337;0.5141809050696939;0.5147271356661951;0.5143803805657847;0.5126248076822927;0.5127250756369136;0.5110899185579135;0.5116994204724306;0.514068501275677;0.5140601357941517;0.5128437240861536;0.5119389560208962;0.5131355733500738;0.5137449574409073;0.5136730849939993;0.5136472816073224;0.5142182551773494;0.5135569108421117;0.5161201650756935;0.5163174019217985;0.5154140477407427;0.5100369282988688;0.5100417590698905
RDKit;0.3742142633109539;0.4752493679348501;0.5263048442736158;0.5541715592951222;0.5487030086748866;0.5697313549322998;0.5703935240333216;0.5687237267913854;0.5620010608844458;0.5664135578298669;0.575825313664319;0.5759182765505656;0.5701807344610004;0.5717576866403731;0.5712443288515562;0.5693466606058164;0.5687696780279332;0.5740010495733722;0.5716029841439957;0.5747778611183966;0.5767987729370311;0.5773468887124676;0.5735196220027717;0.5746066633063354;0.5734645983425978;0.5789695564810213;0.5809936495391091;0.5814836782386019;0.5808467234058396;0.5834115093473062;0.5827730228066591;0.5774060362015624;0.5775956145082428;0.5769753906385314;0.5802981363356694;0.583170795562006;0.5835553720648059;0.5842203689342306;0.5837367027136444;0.5847799136069625;0.5833891228474496;0.585917383447045;0.5853049359404416;0.5866124253557509;0.585126433060006;0.5825444448607547;0.5808441312848036;0.5805201161553001;0.5829621298186057;0.5838201218815312;0.5859056010786994;0.5862858181052113;0.5892623978203562;0.5908465372444198;0.5910316382511289;0.5929307203810701;0.5922988319666965;0.5924636672998512;0.5916654118444379;0.5913847558304461;0.590556573159435;0.5922332041750116;0.5938499807593925;0.5918664190484135;0.5900906983150507;0.5906756929034088;0.5905839082539968;0.5927231150508209;0.5921028911811094;0.592957819828265;0.5938373736252628;0.5938313646174065;0.5935816962321636;0.5932640435815667;0.5934879085801328;0.5938530441751624;0.5924324440237353;0.5931902859557233;0.5944545340792045;0.5952434814636247;0.5956667041345981;0.5962680762149566;0.595106805990816;0.5946854684987779;0.5972420067824025;0.5973313171344621;0.5974923821097462;0.5970484224704846;0.5983552049436933;0.5973513471606495;0.5978694178968049;0.5972672210506621;0.5977700925316516;0.5992441846353674;0.5990641500470469;0.599349754655744;0.598425192211666;0.5991268322466455;0.597499569354437
CDDD;0.4210152442638129;0.5144309269259871;0.5673066613504621;0.5861531486376401;0.5963889633141822;0.6038430786480156;0.6036439566229752;0.6096318740398843;0.6163650262546514;0.6047648133236906;0.6093243542260645;0.6058963919796005;0.5994414214814726;0.6011168742602145;0.6039875304839325;0.6033113403645795;0.6077755619070375;0.6127999172406448;0.6172298520912173;0.6200774148729779;0.6206858563743438;0.6172723864409448;0.613783744997501;0.6134882431993938;0.6173543917246301;0.6077352662072957;0.612867430211265;0.6168954684775696;0.6158747619077917;0.6165972567347429;0.61264462562585;0.6147749956464149;0.6141068175375369;0.614672135570758;0.6160173285647732;0.6155572270808782;0.6162913864524915;0.6195044383003321;0.6182783650502907;0.6186319539243417;0.6191184479133308;0.6188495742676846;0.6165445895482381;0.6160907327195663;0.6170621889896596;0.6169409484193836;0.6199527574158815;0.6208700147915852;0.6204191035549999;0.6218143716144837;0.6202310569562043;0.6216728653706534;0.6222275792723634;0.6240406501133818;0.6249061828920482;0.6267015801805483;0.6277913314288314;0.6272518167822871;0.6287667937041622;0.6297788991450478;0.629666259703664;0.6298556023629777;0.6286292934655693;0.6276219009720219;0.6262933211173739;0.6264192746349881;0.6268065610825074;0.6266987524121455;0.6253206866104459;0.6246188109280996;0.6234087616990082;0.6256773389002667;0.6273002423161874;0.6273956794997867;0.6285627230844167;0.6282044212630274;0.627367873110491;0.6269384057842945;0.6262520828281642;0.6264282292349308;0.6264349451848877;0.625336710631396;0.6245968957229767;0.6269240312949129;0.6284104948853917;0.6282719342336477;0.6286684109284766;0.6302154358922516;0.6300072414435853;0.6312156411411082;0.6324465451621714;0.6320104797097013;0.6319285922496996;0.630890919069504;0.6313183833930818;0.6320160174228237;0.6318560128606907;0.6328136837598197;0.6331635022760002
