#;Name;Algorithm;Featurization;Excluded from predictive evaluation;Excluded from uncertainty evaluation
153;O14965;Shallow;MACCS;;
154;O14965;Shallow;MFC;;
155;O14965;Shallow;RDKit;;
156;O14965;Shallow;CDDD;;
157;O14965;Deep;MACCS;;
158;O14965;Deep;MFC;;
159;O14965;Deep;RDKit;;
160;O14965;Deep;CDDD;;
161;P03372;RF;MACCS;;
162;P03372;RF;MFC;;
163;P03372;RF;RDKit;;
164;P03372;RF;CDDD;;
165;P03372;XGB;MACCS;;
166;P03372;XGB;MFC;;
167;P03372;XGB;RDKit;;
168;P03372;XGB;CDDD;;
169;P03372;SVM;MACCS;x;
170;P03372;SVM;MFC;;
171;P03372;SVM;RDKit;;
172;P03372;SVM;CDDD;;
173;P03372;Shallow;MACCS;;
174;P03372;Shallow;MFC;;
175;P03372;Shallow;RDKit;;
176;P03372;Shallow;CDDD;;
177;P03372;Deep;MACCS;;
178;P03372;Deep;MFC;;
179;P03372;Deep;RDKit;;
180;P03372;Deep;CDDD;;
181;P04150;RF;MACCS;;
182;P04150;RF;MFC;;
183;P04150;RF;RDKit;;
184;P04150;RF;CDDD;;
185;P04150;XGB;MACCS;;
186;P04150;XGB;MFC;;
187;P04150;XGB;RDKit;;
188;P04150;XGB;CDDD;;
189;P04150;SVM;MACCS;;
190;P04150;SVM;MFC;;
191;P04150;SVM;RDKit;;
192;P04150;SVM;CDDD;;
193;P04150;Shallow;MACCS;;
194;P04150;Shallow;MFC;;
195;P04150;Shallow;RDKit;;
196;P04150;Shallow;CDDD;;
197;P04150;Deep;MACCS;;
198;P04150;Deep;MFC;;
199;P04150;Deep;RDKit;;
200;P04150;Deep;CDDD;;
201;P06401;RF;MACCS;;
202;P06401;RF;MFC;;
203;P06401;RF;RDKit;;
204;P06401;RF;CDDD;;
205;P06401;XGB;MACCS;;
206;P06401;XGB;MFC;;
207;P06401;XGB;RDKit;;
208;P06401;XGB;CDDD;;
209;P06401;SVM;MACCS;;
210;P06401;SVM;MFC;;
211;P06401;SVM;RDKit;;
212;P06401;SVM;CDDD;x;
213;P06401;Shallow;MACCS;;
214;P06401;Shallow;MFC;;
215;P06401;Shallow;RDKit;;
216;P06401;Shallow;CDDD;;
217;P06401;Deep;MACCS;;
218;P06401;Deep;MFC;;
219;P06401;Deep;RDKit;;
220;P06401;Deep;CDDD;;
221;P11229;RF;MACCS;;
222;P11229;RF;MFC;;
223;P11229;RF;RDKit;;
224;P11229;RF;CDDD;;
